"nid","title","field_corpo_","field_infovideo","field_playlist","field_tipo_video"
"249","Minicurso de extensão universitária: ”Some Aspects of the Philosophy of Mathematics”","<p>Irina Starikova - Pós-doutoranda PNPD CAPES</p>

<p>Realização: dias 07, 14, 28/ABR e 05/ABR/2015</p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""background-color:rgb(238, 238, 238); border:0px; box-sizing:border-box; color:rgb(88, 88, 88); font-family:noto sans; font-size:14.4px; font-stretch:inherit; font-style:inherit; font-variant:inherit; font-weight:inherit; height:16px; line-height:inherit; margin:0px; max-width:100%; outline:0px; padding:0px; text-align:center; vertical-align:baseline; width:16px"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4emGyaqZatG-ZvaISH_9HUCN"">Playlist do evento</a> </p>
","","","5"
"248","VIII Colóquio Nacional de Filosofia da História","<p>Homenagem a Profa. Maria das Graças de Souza - dias 28 e 29 de maio de 2015 (São Paulo) </p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""height:16px; width:16px"" /> <a href=""https://www.youtube.com/playlist?list=PLr-41gHAHng-sFpUzZwgIOmi3KG8P60aI"">Playlist do evento</a> </p>

<p> </p>
","","","2"
"246","Aula Inaugural 2015 do curso de Filosofia da Universidade de São Paulo","<p><strong>Prof. Caetano Plastino ""O conhecimento com base no testemunho""</strong></p>

<p>Imagens, abertura e edição: Orlando Júnior / Depto de Ciência Política da Universidade de São Paulo - Setor de Audiovisual</p>
","","","1"
"245","Aula inaugural 2014 do curso de Filosofia da Universidade de São Paulo","<p>Prof. Rolf Kuntz ""A lei da guerra - um tema clássico""<br />
Imagens, abertura e edição: Orlando Júnior / Depto de Ciência Política da Universidade de São Paulo - Setor de Audiovisual</p>
","","","1"
"244","Aula inaugural 2013 do curso de filosofia da Universidade de São Paulo","<p>Prof. Dr. Léon Kossovitch ""Arte moderna e história das artes""<br />
Imagens, abertura e edição: Orlando Júnior / Depto de Ciência Política da Universidade de São Paulo - Setor de Audiovisual</p>
","","","1"
"243","Aula inaugural 2008 do curso de filosofia da Universidade de São Paulo","<p>Prof. Dr. Luiz Henrique Lopez dos Santos ""Tragédia, destino e liberdade: Sobre a dimensão trágica da ética""<br />
Imagens, abertura e edição: Bruno Rosa </p>
","","","1"
"242","Aula inaugural 2007 do curso de filosofia da Universidade de São Paulo","<p>Prof. Dr. João Vergílio Gallerani Cuter ""O místico desdramatizado""<br />
Imagens, abertura e edição: Bruno Rosa </p>
","","","1"
"241","Aula inaugural 2002 do curso de filosofia da Universidade de São Paulo","<p>Prof. Dr. Marco Antonio de Ávila Zingano ""Aristóteles sem metafísica?""<br />
Imagens, abertura e edição: Bruno Rosa </p>
","","","1"
"240","Aula inaugural de 1999 (partes 1 e 2) do curso de filosofia da Universidade de São Paulo","<p>Profa. Dra. Marilena de Souza Chauí ""Convite à filosofia""<br />
Imagens, abertura e edição: Bruno Rosa</p>
","","","1"
"239","Aula inaugural 1997 do curso de filosofia da Universidade de São Paulo","<p>Prof. Dr. José Carlos Estevão ""A liberdade com Deus e a liberdade dos homens em Guilherme de Ockham""<br />
Imagens, abertura e edição: Bruno Rosa </p>
","","","1"
"238","Aula inaugural 1996 do curso de filosofia da Universidade de São Paulo","<p>Prof. Dr. Franklin Leopoldo e Silva ""Ética e Palavra""<br />
Imagens, abertura e edição: Bruno Rosa </p>
","","","1"
