"x"
"Instituto de Geografia Uberlândia"
"Instituto Sedes Sapientiae"
"Instituto Universitário Europeu"
"IPEN"
"IP -USP"
"IP-USP"
"IUPERJ"
"Katholieke Universiteit te Leuven"
"LCV"
"L'Ecole des Hautes Etudes em Sciences Sociales"
"letras"
"Letras"
"LETRAS"
"Letras Classicas"
"Letras (clássicas e vernáculas)"
"Letras Clássicas e Vernáculas"
"Letras Clássicas e Vernáculas e Vernáculas"
"Letras Clássicas e Vernáculass"
"Letras Moderna"
"Letras Modernas"
"Letras (Modernas)"
"Letras Modernass"
"Letras Orientais"
"Letras (Orientais)"
"LETRAS ORIENTAIS"
"Lingua Espanhola"
"Língua, Literatura e Cultura e Italianas"
"Lingua Orientais"
"Línguas modernas"
"Línguas Modernas"
"Línguas Orientais"
"Linguistica"
"LINGUISTICA"
"Linguística"
"Lingüística"
"Linguística e Literários em Inglês"
"Linguistica Geral"
"Literatura e cultura Russa"
"LLP"
"LM"
"LUIZ DE QUEIROZ-USP"
"Mackenzie"
"MAE"
"MAE - Arqueologia"
"Museu de Arquiologia"
"Não Consta"
"Núcleo de Estudos das Diversidades, Intolerâncias e Conflitos"
"Pós garduação Socilogia"
"Psicologia"
"PUC"
"PUC/Minas"
"PUC/RGS"
"PUC/RJ"
"PUC-RS"
"PUC/RS"
"PUCSP"
"PUC-SP"
"PUC/SP"
"PUS-RS"
"Semiótica e Linguística Geral"
"Semiotica Linguistica"
"Sociologia"
"SOCIOLOGIA"
"Teoria Literaria"
"Teoria Literária"
"Teoria Literaria e Literatura Comparada"
"Teoria Litéraria e Literatura Comparada"
"Teoria Literária e Literatura Comparada"
"Teoria Literária e Literaura Comparada"
"TLLC"
"UERJ"
"UFB"
"UFBA"
"UFCE"
"UF de Santa Maria"
"UFF"
"UFGRS"
"UFMG"
"UFMGrosso"
"UFP"
"UFPB"
"UFPe"
"UFPE"
"UFRGS"
"UFRJ"
"UFRJ/UFJF"
"UFRS"
"UFSC"
"UFSM"
"UFSM/SC"
"Uinversidade de Brasilia"
"UMESP"
"Unesp"
"UNESP"
"UNESP-ASSIS"
"UNESP/ASSIS"
"UNESP-Marília"
"UNESP- Marília"
"Unicamp"
"UNICAMP"
"Univ. de Brasília"
"Univ.de Brasília"
"Univ. de Chicago"
"Univ. de Paris"
"Universdidade Federal Fluminense"
"Universidade Católica de Goiás"
"Universidade de Barsília"
"Universidade de Brasilia"
"Universidade de Brasília"
"Universidade de Lisboa"
"Universidade de Minas Gerais"
"Universidade de Presidente Prudente"
"Universidade de Toulouse le Mirail"
"Universidade do Brasil-RJ"
"Universidade do Estado do Rio de Janeiro"
"Universidade do Vale di Rio do Sinos"
"Universidade Esatdual Paulista Júlio de Mesquita"
"Universidade Estadual de Maringá"
"Universidade Estadual Júlio de Mesquita F."
"Universidade estadual Paulista"
"Universidade Estadual Paulista"
"Universidade Estadual Paulista Júlio de Mesquita"
"Universidade Estadual Paulista Rio Claro"
"Universidade Est. Do Rio de Janeiro"
"Universidade Federal da Bahia"
"Universidade Federal da Paraíba"
"Universidade Federal de Brasília"
"Universidade Federal de Goiás"
"Universidade Federal de Minas Gerais"
"Universidade Federal de Pernambuco"
"Universidade Federal de Pernanbuco"
"Universidade Federal de Santa Catarina"
"Universidade Federal de Santa Maria"
"Universidade Federal de Viçosa"
"Universidade Federal do Ceará"
"Universidade Federal do Espírito Santo"
"Universidade Federal do Pará"
"Universidade Federal do Paraná"
"Universidade Federal do Rio de Janeiro"
"universidade Federal do Rio Grande do Norte"
"Universidade Federal do Rio Grande do Sul"
"Universidade Federal Fluminense"
"Universidade Federal Paulista"
"Universidade Federal paulista Júlio de Mesquita"
"Universidade Federal Paulista Júlio de Mesquita"
"Universidade Federal Pernambuco"
"Universidade Federal Rural do Rio de Janeiro"
"Universidade Metodista de Piracicaba"
"Universidade São Marcos"
"Universidade Vale dos Sinos"
"Universidad Nacional Autonoma de Honduras"
"Universitat Autònoma de Barcelona"
"Universite De L'etat a Anvers"
"Universite de Paris"
"Université de Paris-Sorbonne"
"Universite de Paris X"
"University of Chicago"
"Univ. Estadual Paulista"
"Univ. Est. Paulista Júlio de Mesquita Filho"
"Univ. Fed. do Pará"
"Univ. Federal da Paraíba"
"Univ. Federal de Mato Grosso"
"Univ. Federal de Pernambuco"
"Univ. federal de Santa catarina"
"Univ. Federal de São Carlos"
"Univ. federal de Uberlândia"
"Univ. Federal de Uberlândia"
"Univ. Federal do Ceará"
"Univ. Federal do Pará"
"Univ. Federal do Paraná"
"Univ. Federal do Rio Grande do Sul"
"Univ. Federal Paulista"
"URJ"
"USP"
"USP-Assis"
"USP-ECA"
"USP-IP"
"USP-Rio Preto"
"Zoologia"
