"nid","title","SGA_ACERVO_VIDEO","Descritor","Descritor.1","Descritor.2","Descritor.3","Descritor.4","Descritor.5","Descritor.6","Descritor.7","Descritor.8","Descritor.9","Descritor.10","Descritor.11","Descritor.12","Descritor.13","Descritor.14","Descritor.15","Descritor.16","Descritor.17","Descritor.18","Descritor.19","Descritor.20","Descritor.21","Descritor.22"
"365","CUNIÃ: UMA COMUNIDADE AMEAÇADA","902","1091","1134","1139","1143","1244","1285","1389","1667",,,,,,,,,,,,,,,
"366","HOMEM QUE QUERIA SER REI, O","903","1038","1048","1052","1212","318","1327","1353","1549",,,,,,,,,,,,,,,
"367","ESPÍRITO DA TV, O","904","1044","1116","1153","1193","1198","1285","1293","1447","1667",,,,,,,,,,,,,,
"368","MASCARAS DE SONHO. O DESMAIO RESTAURADO NO RITUAL DO WAIA","905","1230","1259","1279","1285","1425","1667",,,,,,,,,,,,,,,,,
"369","PARIMÃ: FRONTEIRAS DO BRASIL","906","1009","1053","1092","1178","1285","1290","1293","1529","1600","1667",,,,,,,,,,,,,
"370","NATUREZA DE UM CONTINENTE (1º PROGRAMA)","907","1052","1092","1100","1109","1116","1117","1178","1213","1214","1222","1276","1281","1312","1324","1353","1510","1511","1523","1531","1532","1533","1534",
"371","SAGA DO HERÓI, A   (1º PROGRAMA )","909","1066","1067","1099","1155","1211","1213","1214","1216","1230","1286",,,,,,,,,,,,,
"372","MITOLOGIA E NATUREZA (2º PROGRAMA)","910","1066","1067","1099","1133","1155","1213","1214","1216","1217","1286",,,,,,,,,,,,,
"373","PRIMEIROS CONTADORES DE HISTÓRIAS , OS   (3 º PROGRAMA)","911","1024","1155","1212","1254","1271","1286","1343","1450",,,,,,,,,,,,,,,
"374","AMOR E A DEUSA, O  (5º PROGRAMA)","913","1004","1066","1067","1155","1165","1211","1212","1248",,,,,,,,,,,,,,,
"375","VIRGEM E O TOURO, A  (1º PROGRAMA)","915","1024","1052","1091","1093","1116","1155","1162","1214","1220","1284","1504","1539","1600",,,,,,,,,,
"376","IDADE DO OURO, A  (3º PROGRAMA)","917","1029","1052","1085","1140","1218","1222","1284","1336","1504","1600",,,,,,,,,,,,,
"377","TRÊS ESPANHAS, AS  (5º PROGRAMA)","919","1026","1076","1108","1116","1162","1284","1286","1399","1504","1600",,,,,,,,,,,,,
"378","TV: TRADIÇÕES E CULTURAS","920","1036","1052","1116","1153","1542","1543","1544","1545","1546",,,,,,,,,,,,,,
"379","REVOLUÇÃO CHINESA, A","921","1054","1079","1185","1204","1282","1399","1549",,,,,,,,,,,,,,,,
"380","PRÉ-HISTÓRIAS DA PEDRA FURADA","924","1023","1024","1385","1450","1503","1667",,,,,,,,,,,,,,,,,
"381","VÍDEO NAS ALDEIAS","925","1036","1116","1147","1153","1204","1434","1451","1491","1547","1667",,,,,,,,,,,,,
"382","SAGA DO CHEFE WAIWAI, A","926","1043","1044","1091","1137","1193","1204","1285","1293","1353","1447",,,,,,,,,,,,,
"383","IDADE DO VÍDEO, A  (1º PROGRAMA)","927","1026","1041","1169","1359","1504","1555",,,,,,,,,,,,,,,,,
"384","EM TORNO DO CINEMA (7º PROGRAMA)","933","1038","1041","1153","1359",,,,,,,,,,,,,,,,,,,
"385","ARTISTAS CONVIDADOS (11º PROGRAMA)","937","1026","1041","1153","1359",,,,,,,,,,,,,,,,,,,
"386","P ' TÁMUNÁ : O FILHO DA TERRA","941","1043","1044","1091","1116","1204","1285","1390","1548",,,,,,,,,,,,,,,
"387","SANGUE FRIO - MORTE NO TIMOR DO LESTE","942","1052","1108","1117","1159","1200","1271","1525","1549","1550",,,,,,,,,,,,,,
"388","RODA VIVA : ORLANDO VILLAS BOAS","943","1074","1092","1193","1198","1353","1393",,,,,,,,,,,,,,,,,
"389","BOCA LIVRE NO SARARÉ","944","1043","1091","1134","1137","1143","1244","1285","1378","1451","1667","1402",,,,,,,,,,,,
"390","AMÉRICA, PECADO CAPITAL","947","1076","1078","1087","1175","1204","1331","1386","1501",,,,,,,,,,,,,,,
"391","CAVALHADA - SÃO PEDRO DE CATUÇABA","948","1070","1098","1104","1213","1392",,,,,,,,,,,,,,,,,,
"392","LÉVI-STRAUSS","949","1006","1092","1402",,,,,,,,,,,,,,,,,,,,
"393","QUESTÃO DO OBSCENO, A","950","1004","1055","1066","1212","1248","1530",,,,,,,,,,,,,,,,,
"394","REGISTROS VISUAIS NA ARQUEOLOGIA","953","1023","1105","1450",,,,,,,,,,,,,,,,,,,,
"395","GUERRA DOS MENINOS, A","955","1063","1100","1154","1159","1271","1273","1337","1351","1366","1405","1513","1559",,,,,,,,,,,
"396","ILUSÕES PERDIDAS (3º PROGRAMA)","957","1054","1117","1176","1271","1281","1299","1316","1504","1546","1562","1563","1600",,,,,,,,,,,
"397","RETRATO DE UM SÉCULO, O (1º EPISÓDIO)","958","1097","1105","1165","1229","1279","1336","1541",,,,,,,,,,,,,,,,
"398","VIADUTO DO CHÁ  (4º EPISÓDIO)","959","1041","1049","1268","1393",,,,,,,,,,,,,,,,,,,
"399","ARCA DOS ZO E, A","960","1092","1116","1279","1285","1431","1447","1402",,,,,,,,,,,,,,,,
"400","FUNERAL BORORO","961","1233","1378","1433",,,,,,,,,,,,,,,,,,,,
"401","RITUAIS E FESTAS BORORO","964","1187","1233","1378","1433",,,,,,,,,,,,,,,,,,,
"402","CERIMÔNIAS FÚNEBRES ENTRE OS ÍNDIOS BOROROS","963","1233","1378","1433",,,,,,,,,,,,,,,,,,,,
"403","IRMÃOS LUMIÈRE, OS (1º PROGRAMA)","965","1036","1105","1114","1316","1504","1577","1578",,,,,,,,,,,,,,,,
"404","ARAWETE, VIOLÊNCIA CONTRA OS ÍNDIOS EM RONDÔNIA","972","1043","1044","1091","1134","1135","1198","1381","1604",,,,,,,,,,,,,,,
"405","FACE DE TUTANCAMON: HOWARD CARTER E A GRANDE AVENTURA, A","973","1021","1068","1114","1268","1510",,,,,,,,,,,,,,,,,,
"406","MÉDICOS DO SÉCULO VINTE, OS","974","1094","1095","1134","1240","1285",,,,,,,,,,,,,,,,,,
"407","QUANDO A CHINA DESPERTAR","975","1048","1054","1078","1124","1200","1271","1282","1546",,,,,,,,,,,,,,,
"408","CORDA BAMBA DO PODER, A (2º PROGRAMA)","977","1043","1044","1074","1091","1206","1222","1581","1584","1666",,,,,,,,,,,,,,
"409","SÉCULO XX: PRIMEIROS TEMPOS","978","1025","1026","1049","1158","1162","1369","1393","1559",,,,,,,,,,,,,,,
"410","MEU AMIGO GARIMPEIRO","979","1044","1078","1091","1140","1144","1285","1293","1437","1447",,,,,,,,,,,,,,
"411","TORÉM","980","1043","1044","1091","1116","1230","1271","1302","1610",,,,,,,,,,,,,,,
"412","CAMINHO DO NADA, A (1º PROGRAMA)","981","1054","1109","1116","1176","1271","1353",,,,,,,,,,,,,,,,,
"413","LIVRES DA OPRESSÃO (4º PROGRAMA)","984","1054","1116","1117","1176","1448","1590",,,,,,,,,,,,,,,,,
"414","BRASILÂNDIA","985","1110","1393",,,,,,,,,,,,,,,,,,,,,
"415","CANTO DO CEILÃO","986","1052","1070","1170","1212","1549","1611",,,,,,,,,,,,,,,,,
