nid,title,SGA_ACERVO_VIDEO,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor
397,"RETRATO DE UM SÉCULO, O (1º EPISÓDIO)",958,101,109,172,238,305,369,580,,,,,,,,,,,,,,,,
398,VIADUTO DO CHÁ  (4º EPISÓDIO),959,41,50,281,428,,,,,,,,,,,,,,,,,,,
399,"ARCA DOS ZO E, A",960,94,120,305,313,469,486,439,,,,,,,,,,,,,,,,
400,FUNERAL BORORO,961,242,413,471,,,,,,,,,,,,,,,,,,,,
401,RITUAIS E FESTAS BORORO,964,196,242,413,471,,,,,,,,,,,,,,,,,,,
402,CERIMÔNIAS FÚNEBRES ENTRE OS ÍNDIOS BOROROS,963,242,413,471,,,,,,,,,,,,,,,,,,,,
403,"IRMÃOS LUMIÈRE, OS (1º PROGRAMA)",965,36,109,118,347,543,616,617,,,,,,,,,,,,,,,,
404,"ARAWETE, VIOLÊNCIA CONTRA OS ÍNDIOS EM RONDÔNIA",972,44,45,93,140,141,207,416,643,,,,,,,,,,,,,,,
405,"FACE DE TUTANCAMON: HOWARD CARTER E A GRANDE AVENTURA, A",973,21,70,118,281,549,,,,,,,,,,,,,,,,,,
406,"MÉDICOS DO SÉCULO VINTE, OS",974,98,99,140,249,313,,,,,,,,,,,,,,,,,,
407,QUANDO A CHINA DESPERTAR,975,49,55,80,130,209,284,310,585,,,,,,,,,,,,,,,
408,"CORDA BAMBA DO PODER, A (2º PROGRAMA)",977,44,45,76,93,215,231,620,623,711,,,,,,,,,,,,,,
409,SÉCULO XX: PRIMEIROS TEMPOS,978,25,26,50,164,169,404,428,598,,,,,,,,,,,,,,,
410,MEU AMIGO GARIMPEIRO,979,45,80,93,146,150,313,323,476,486,,,,,,,,,,,,,,
411,TORÉM,980,44,45,93,120,239,284,332,649,,,,,,,,,,,,,,,
412,"CAMINHO DO NADA, A (1º PROGRAMA)",981,55,113,120,184,284,386,,,,,,,,,,,,,,,,,
413,LIVRES DA OPRESSÃO (4º PROGRAMA),984,55,120,121,184,487,629,,,,,,,,,,,,,,,,,
414,BRASILÂNDIA,985,114,428,,,,,,,,,,,,,,,,,,,,,
415,CANTO DO CEILÃO,986,53,72,177,221,588,650,,,,,,,,,,,,,,,,,
416,ARGELINOS,987,95,169,186,223,296,309,347,386,543,,,,,,,,,,,,,,
417,ERÊ: AS CRIANÇAS TERRÍVEIS DO CANDOMBLÉ,988,67,186,227,239,305,481,,,,,,,,,,,,,,,,,
418,"EBÓ: SACRIFÍCIO, OFERENDA, ALIMENTO",989,67,186,239,428,481,712,,,,,,,,,,,,,,,,,
419,CIRANDA CIRANDINHA:HISTÓRIAS DE CIRCULAÇÃO DE CRIANÇAS EM CLASSES POPULARES,995,62,64,101,160,173,397,431,,,,,,,,,,,,,,,,
420,PHOTO WALLAHS,996,109,120,153,238,281,358,580,588,,,,,,,,,,,,,,,
421,ALÉM DAS NUVENS,997,49,55,69,93,225,249,284,310,588,651,,,,,,,,,,,,,
422,"BRASIL, UMA NAÇÃO DE CHUTEIRAS (1º PROGRAMA)",1009,80,89,160,305,,,,,,,,,,,,,,,,,,,
423,CASAMENTO EM DAMBAITI,1003,186,239,240,296,,,,,,,,,,,,,,,,,,,
424,SADHUS - OS SAGRADOS HOMENS DA ÍNDIA,1005,226,358,569,,,,,,,,,,,,,,,,,,,,
425,JOGADORES DE RUGBY (2º PROGRAMA),1010,94,296,386,391,501,,,,,,,,,,,,,,,,,,
426,TIM,1013,74,101,248,317,543,569,,,,,,,,,,,,,,,,,
427,"FIM DO MURO DE BERLIM, O",1014,49,118,153,185,284,375,384,543,632,633,,,,,,,,,,,,,
428,RUAS MODESTAS,1015,76,160,215,317,370,543,,,,,,,,,,,,,,,,,
429,TOURADA,1016,88,239,312,543,,,,,,,,,,,,,,,,,,,
430,LEVAMOS O MELHOR DE AMBOS OS MUNDOS,1017,94,120,169,172,223,308,384,543,,,,,,,,,,,,,,,
431,"CASAMENTO DE SARAH, O",1018,93,213,223,224,240,354,,,,,,,,,,,,,,,,,
432,MUDANDO O RUMO,1019,166,172,248,384,390,652,778,,,,,,,,,,,,,,,,
433,"GUERRA DA PEPSI, A",1020,112,186,284,528,673,,,,,,,,,,,,,,,,,,
434,SOB A CONDIÇÃO DE QUE SEJAM MUÇULMANAS,1021,81,101,120,169,223,317,384,543,,,,,,,,,,,,,,,
435,CENAS DE UM MUSEU,1022,53,81,120,176,302,543,,,,,,,,,,,,,,,,,
436,VOLTA AS ORIGENS,1023,45,130,139,215,317,543,569,,,,,,,,,,,,,,,,
437,"AL MASSOM, MULHERES MARAVILHOSAS",1024,120,169,172,215,223,284,317,543,,,,,,,,,,,,,,,
438,CINEMA PEDREGAL,1025,36,153,328,577,,,,,,,,,,,,,,,,,,,
439,"CASAMENTO NO PAQUISTÃO, UM",1026,223,239,240,450,588,638,,,,,,,,,,,,,,,,,
440,HOJE É DIA DO DIA DO CIGANO,1027,52,120,222,239,317,543,,,,,,,,,,,,,,,,,
441,"CAFUSOS DO RIO LAISZ, OS - UM DOCUMENTO ETNOGRÁFICO EM VÍDEO",1028,45,113,142,144,284,404,426,,,,,,,,,,,,,,,,
442,RONDON - O SENTIMENTO DA TERRA,1029,44,94,117,202,206,207,305,446,457,471,582,595,675,,,,,,,,,,
443,JARDIM ANTÁRTICA,1031,114,177,428,,,,,,,,,,,,,,,,,,,,
444,"PLANETA DOS MACACOS, O",1032,87,284,384,686,,,,,,,,,,,,,,,,,,,
445,"BRASIL DOS VIAJANTES, O",1033,117,139,305,336,439,,,,,,,,,,,,,,,,,,
446,TERRA DA LUA,1034,43,131,272,415,,,,,,,,,,,,,,,,,,,
447,RODA VIVA : DARCY RIBEIRO,1035,6,55,81,184,202,305,601,,,,,,,,,,,,,,,,
448,FHC - A TRAJETÓRIA DO PRESIDENTE,1036,55,75,78,212,305,601,,,,,,,,,,,,,,,,,
449,"GOEBBELS, MESTRE DA PROPAGANDA",1037,36,154,185,217,302,375,382,386,543,,,,,,,,,,,,,,
450,"MARKETING POLÍTICO, O ESTILO AMERICANO",1038,75,159,200,217,314,,,,,,,,,,,,,,,,,,
451,"FORÇA DA NOVELA, A",1039,75,199,200,217,305,358,380,677,678,679,680,,,,,,,,,,,,
452,"BRASIL GRANDE E OS ÍNDIOS GIGANTES, O",1040,45,94,166,202,203,253,284,413,496,,,,,,,,,,,,,,
453,PRISIONEIROS DO MEDO,1041,50,51,62,160,286,384,401,428,,,,,,,,,,,,,,,
454,"TURMA DE CICERO, A",1042,66,120,169,543,664,,,,,,,,,,,,,,,,,,
455,"MULTIPLICAÇÃO DE MARIA, A",1043,229,239,427,,,,,,,,,,,,,,,,,,,,
456,EM NOME DO PROFETA (1º PROGRAMA),1044,131,223,231,296,347,543,636,637,,,,,,,,,,,,,,,
457,"MULHER MUÇULMANA, A (3º PROGRAMA)",1046,56,101,130,172,223,240,296,485,549,564,,,,,,,,,,,,,
458,"ARTE DO VIVER, A (1º PROGRAMA)",1047,68,75,91,103,118,405,543,580,,,,,,,,,,,,,,,
459,"DRAMA BURGUÊS, O (3º PROGRAMA)",1049,49,68,75,91,103,405,406,407,436,543,,,,,,,,,,,,,
460,"REINADOS, OS",1051,80,121,200,305,369,403,,,,,,,,,,,,,,,,,
461,SÉCULO XVIII: A COLÔNIA DOURADA,1052,80,121,146,200,369,402,415,,,,,,,,,,,,,,,,
462,"ERA JK, A",1053,26,136,159,163,212,404,602,,,,,,,,,,,,,,,,
463,MARIO... UM HOMEM DESINFELIZ,1054,38,136,163,428,,,,,,,,,,,,,,,,,,,
464,"POESIA DE CADA DIA, A (5º EPISÓDIO)",1055,136,177,305,,,,,,,,,,,,,,,,,,,,
465,CAMINHOS DA ABSTRAÇÃO (2º EPISÓDIO),1056,117,163,305,369,,,,,,,,,,,,,,,,,,,
