"nid","title","field_documentos_","field_documentos_vagas"
2702,"Inglês para Escrita Acadêmica para alunos de graduação - IRI",4105,4105
2706,"Inglês para Graduandos USP - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
2708,"Clone of Inglês para funcionários: Nível A2-B1 (pré-intermediário) - Módulo 2",4105,4105
2747,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
2753,"Inglês para escrita acadêmica para alunos de graduação (IRI) e alunos de graduação de outras unidades USP",4105,4105
2755,"Inglês para apresentações orais",4105,4105
2757,"Curso Preparatório para o IELTS",4105,4105
2758,"Inglês para funcionários: Nível A2-B1 (pré-intermediário) - Módulo 2",4105,4105
2767,"Curso Preparatório para o TOEFL",4105,4105
2770,"Inglês para funcionários: Nível B1 (intermediário) - Módulo 2",4105,4105
2772,"Inglês para funcionários: Nível B1 (intermediário) - Módulo 1",4105,4105
2778,"Redação em japonês para universitários",4105,4105
2781,"Leitura para N4/N5 do JLPT",4105,4105
2792,"Curso de Francês para Internacionalização - Poli - Módulo 3",4105,4105
2795,"Curso de Francês para Internacionalização - Poli - Módulo 1",4105,4105
2798,"Práticas de Leitura em japonês",4105,4105
2801,"Curso de Francês para Internacionalização - IRI - Módulo 1",4105,4105
2803,"Curso de Francês para Internacionalização - IRI - Módulo 4",4105,4105
2805,"Preparatório para N3 do JLPT - Parte 1",4105,4105
2808,"Japonês III - Aki",4105,4105
2861,"Inglês para Leitura de Textos I",4105,4105
2914,"Japonês Elementar - Sakura",4105,4105
2916,"Preparatório para N3 do JLPT - Parte 2",4105,4105
2918,"Redação em Japonês para Universitários",4105,4105
2922,"Japonês IV - Fuyu",4105,4105
2925,"Práticas de Leitura em Japonês - Curso de Férias",4105,4105
2927,"Japonês Elementar - Sakura - Curso de Férias",4105,4105
2944,"Curso Preparatório para o TOEFL",4105,4105
2945,"Curso Preparatório para o IELTS",4105,4105
2946,"Inglês para apresentações orais",4105,4105
2949,"Inglês para negócios – módulo 1",4105,4105
2950,"Inglês para escrita acadêmica para alunos de pós-graduação",4105,4105
2977,"Inglês para Graduandos USP - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
2984,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
2985,"Inglês para Leitura de Textos I",4105,4105
2988,"Inglês para Leitura de Textos II",4105,4105
2990,"Inglês para Produção de Abstracts",4105,4105
3114,"Inglês para Leitura de Textos I",4105,4105
3118,"Inglês para Leitura de Textos II",4105,4105
3120,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
3122,"Inglês para Graduandos USP - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
3126,"Inglês para Produção de Abstracts",4105,4105
3133,"Curso Preparatório para IELTS",4105,4105
3137,"Curso Preparatório para o TOEFL iBT",4105,4105
3144,"Inglês para apresentações orais (IRI)",4105,4105
3150,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3153,"Inglês para Escrita Acadêmica para Alunos de Graduação USP",4105,4105
3156,"TED Talks e Compreensão Oral em Inglês",4105,4105
3159,"TED Talks e compreensão oral em inglês",4105,4105
3165,"Inglês para Graduandos USP",4105,4105
3170,"Inglês para Produção de Abstracts",4105,4105
3176,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
3179,"Curso Preparatório para o TOEFL iBT - (Curso de Férias)",4105,4105
3189,"Práticas de Leitura em Japonês",4105,4105
3190,"Preparatório para N3 do JLPT - Parte 1",4105,4105
3192,"Japonês I – Haru",4105,4105
3194,"Japonês V – Shiki",4105,4105
3333,"CURSO INTENSIVO DE FÉRIAS: JAPONÊS ELEMENTAR - SAKURA",4105,4105
3305,"Título do Curso",4105,4105
3277,"Inglês para apresentações orais",4105,4105
3279,"Curso Preparatório para IELTS (IRI)",4105,4105
3281,"Inglês para Graduandos USP",4105,4105
3282,"Preparatório para N3 do JLPT - Parte 2",4105,4105
3283,"Inglês em Contexto Acadêmico - (Matrículas mediante resultado do TESTE DE NÍVEL)",4105,4105
3293,"Preparatório para TOEFL iBT (internet-based test)",4105,4105
3295,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3298,"Clone of Japonês II – NATSU",4105,4105
3302,"Inglês para Leitura de Textos II",4105,4105
3306,"Preparatório para TOEFL iBT (internet-based test)",4105,4105
3307,"Curso Preparatório para IELTS (IRI)",4105,4105
3308,"Inglês para apresentações orais",4105,4105
3314,"CURSO PREPARATÓRIO PARA N3 DO JLPT – PARTE 2",4105,4105
3315,"Inglês em Contexto Acadêmico",4105,4105
3318,"Inglês para Leitura de Textos II",4105,4105
3320,"Inglês para Leitura de Textos I",4105,4105
3322,"Japonês II – Natsu",4105,4105
3324,"Curso de Conversação e Produção de Texto em Português para Estrangeiros - Nível B",4105,4105
3326,"Curso de Conversação e Produção de Texto em Português para Estrangeiros - Nível C",4105,4105
3328,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3331,"Práticas de Leitura 2: textos de N2/N1 do JLPT",4105,4105
3335,"CURSO INTENSIVO DE FÉRIAS: REDAÇÃO EM JAPONÊS PARA UNIVERSITÁRIOS",4105,4105
3347,"TED Talks e Compreensão Oral em Inglês",4105,4105
3733,"Japonês I – Haru",4105,4105
3726,"Preparatório para IELTS - Curso de Férias",4105,4105
3729,"CURSO INTENSIVO DE FÉRIAS: REDAÇÃO EM JAPONÊS PARA UNIVERSITÁRIOS",4105,4105
3734,"Preparatório para TOEFL iBT (internet-based test) - IRI",4105,4105
3737,"Inglês para Leitura de Textos I",4105,4105
3738,"Inglês para Leitura de Textos II",4105,4105
3740,"Inglês para Graduandos USP",4105,4105
3742,"Inglês em Contexto Acadêmico",4105,4105
3743,"Japonês III – Aki",4105,4105
3749,"TED Talks e Compreensão Oral em Inglês",4105,4105
3753,"Inglês para apresentações orais",4105,4105
3754,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação",4105,4105
3755,"Curso Preparatório para N3 do JLPT - Parte 1",4105,4105
3762,"Curso Preparatório para IELTS",4105,4105
3816,"Leitura e Escrita de comunicações em inglês para funcionários FFLCH-USP",4105,4105
