"nid","title","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload"
4052,"Inglês para Escrita Acadêmica para Alunos de Pós-graduação","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/QSE IEAP.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado inglês para Escrita Acadêmica 18 de fev 2020.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Documento sem título(3).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Resultado  Inglês para Escrita Acadêmica  21 jan 2020.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Resultado  Inglês para Escrita Acadêmica  21 jan 2020_0.pdf",,,,,,
4053,"Inglês para Leitura de Textos I","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/QSE PADRÃO.docx_.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Cópia de QSE PADRÃO.docx_.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Leitura 1 QSE.pdf",,,,,,,,
4042,"Inglês para Prática Comunicativa - Nível 1","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Resultado da Análise Socioeconômica para Vagas Gratuitas.pdf",,,,,,,,,,
4065,"Inglês para apresentações orais","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Resultado do QSE - apresentações orais.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Apresentações Teste de nível Resultado 2020-1 (1).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Apresentações Teste de nível Resultado 2020-1 (2).pdf",,,,,,,,
4055,"Inglês em Contexto Acadêmico","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Resultado do teste Contexto 18.02.2020.pdf",,,,,,,,,,
2242,"Inglês em Contexto Acadêmico","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado do teste nivel pos-graduandos 11.02.2016.pdf",,,,,,,,,,
2203,"Curso Preparatório para o DELF (CURSO CANCELADO)","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Resultado teste de nível DELF 27_04_16.pdf","",,,,,,,,,
2244,"Inglês Acadêmico para graduandos USP","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado teste de nivel graduacao 11.02.2016_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado teste de nivel graduacao 11.02.2016 (1).pdf",,,,,,,,,
1813,"Inglês para Graduandos USP","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado teste de nivel graduacao 11.02.2016.pdf","","","",,,,,,,
2187,"Curso de Francês para Internacionalização – Relações Internacionais – módulo 3","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Resultado teste de nível IRI 1sem16 (1).pdf",,,,,,,,,,
2186,"Curso de Francês para Internacionalização – Poli – módulo 3","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Resultado teste de nível Poli 1sem16_0.pdf",,,,,,,,,,
2185,"Curso de Francês para Internacionalização – Poli – módulo 2","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Resultado teste de nível Poli 1sem16.pdf",,,,,,,,,,
4041,"Japonês I – Haru","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/RESULTADO_Japones1_Haru_1sem2020.pdf",,,,,,,,,,
4044,"Japonês III – Aki","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/RESULTADO_Japones3_Aki_1sem2020.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Japonês III - AKI qse.pdf",,,,,,,,,
4046,"Preparatório para N3 do JLPT - Parte 1","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/RESULTADO_Prep.N3(1)_1sem2020.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/PREP NR.pdf",,,,,,,,,
2925,"Práticas de Leitura em Japonês - Curso de Férias","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado_teste_Praticas_10jan2018.pdf",,,,,,,,,,
4049,"Práticas de Leitura em Japonês - Curso de Férias","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado.teste_.nivel_Prat.Leitura.Japones_jan.2020.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Curso de Férias - Práticas de Leitura em Japonês.pdf",,,,,,,,,
3885,"Práticas de Leitura em Japonês","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado.teste_.nivel_Prat.Leitura.Japones_jul.2019.pdf",,,,,,,,,,
4061,"Inglês para Compreensão oral de Palestras (Antigo TED Talks e Compreensão Oral em Inglês)","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/TED Talks Teste de nível Resultado 2020-1 (1).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/QSE PADRÃO.docx(2).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/PRISCILA Programa de curso - Inglês para compreensão oral de palestras 2020-1.docx_.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/TED Talks Teste de nível Resultado 2020-1.pdf",,,,,,,
4051,"Preparatório para TOEFL iBT (internet-based test)","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/TOEFL Isentos - 1º período.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/IELTS TOEFL Teste de nível Resultado 2020- 2_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/IELTS TOEFL Teste de nível Resultado 2020-1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/TOEFL Teste de nível Resultado 2019-2_0_1.pdf",,,,,,,
4038,"Curso de Férias: Preparatório para TOEFL","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/TOEFL Teste de nível Resultado 2020-0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/TOEFL Teste de nível Resultado 2020-0_1.pdf",,,,,,,,,
