Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
AB0059,"CORRÊA, Mariza",História da Antropologia no Brasil (1930-1960),,Antropologia-História,Unicamp,1987,Campinas - SP,,Livro,,,Com depoimentos de Emilio Willems e Donald Person,
AB0060,"RÓNAI, Cora",Idéias: Um Livro de Entrevistas,,,Editora da Universidade de Brasília,1981,Brasília - DF,,Livro,,96p.,,
AB0061,"SEVERO, R.",Theatro Municipal de São Paulo,,,Gráficas de Pocai & Weiss,1911,São Paulo-SP,,Monografia,,42p.,"Acompanha Agenda Cultural de set. 1991. (Theatro Municipal de São Paulo, 80 anos)",
AB0062,"MOURA, Esmeralda Blanco B. de",Mulheres e menores no trabalho industrial: os fatores sexo e idade na dinâmica do capital,,,Ed. Vozes,1982,Petrópolis-RJ,,Livro,,164p.,,
AB0063,FFLCH-USP,,Coleção da Revista de História,,FFLCH - USP,1991,São Paulo - SP,,Revista,n.81 a 112,446p.,,
AB0064,"LAVENÈRE, L.; SANT'ANNA, Moacir Medeiros de",A fotografia em Macéio (1858-1918). ,Revista do Arquivo Público de Alagoas,,Secretaria de Estado dos Negocios da Educação e Cultura,1962,Maceió - AL,,Revista,n.1,,Consta exemplar da revista na íntegra,
AB0065,USP,,Esboço de catálogo geral dos cursos de graduação da USP,,Secretaria Geral da USP,1975,São Paulo-SP,,Catálogo,v.1,577p.,,
AB0066,"BONZON, Alfred",La Nouvelle Critique et Racine,Boletim. Língua e Literatura Francesa,,Seção de Publicações da FFLCH - USP,1971,São Paulo - SP,,Boletim,n.350 ,125p.,,
AB0067,"TORRES, M. C. T. M.",História dos Bairros de São Paulo - O bairro do Brás I,,Bairros de São Paulo: Brás,Oficina de Artes Gráficas Municipal. Arquivo Histórico Municipal,1969,São Paulo - SP,,Livro,,250p.,,
AB0068,"DERTONIO, Hilário",História dos Bairros de São Paulo - O bairro do Bom Retiro IX,,Bairros de São Paulo: Bom Retiro,Oficina de Artes Gráficas Bisordi SA ,1971,São Paulo - SP,,Livro,,80p.,,
AB0069,"VILLAÇA, Alcides et alii",Memória Paulistana,,,MIS/ Secretaria de Cultura Esportes e Turismo,1975,São Paulo - SP,,Livro,,,,
AB0070,USP,,Catálogo das Publicações Periódicas da USP,,Reitoria USP,1968,São Paulo-SP,,Catálogo,3a. Ed.,151p.,Edição Revista e Ampliada,
AB0071,FFLCH-USP,Programas  para 1972-História (Graduação),,,FFLCH-USP,1972,São Paulo - SP,,Programas,,97p.,Constam 2 exemplares.,
AB0072,USP,,Esboço do catálogo geral dos cursos de graduação da USP,,Secretaria Geral da USP,1975,São Paulo-SP,,Catálogo,v.2,999p.,,
AB0073,FFCL-USP,"Guia da Faculdade de Filosofia, Ciências e Letras da USP",,,FFCL-USP,1954,São Paulo - SP,,Guia,,87p.,,
AB0074,FFCL-USP,Programas aprovados pela Congregação para 1967,,,FFCL-USP,1967,São Paulo - SP,,Programas,,291p.,Constam 2 exemplares.,
AB0075,FFLCH-USP,Programas  para 1970-História (Graduação),,,FFLCH-USP,1970,São Paulo - SP,,Programas,,49p.,,
AB0076,FFCL-USP,"Guia da Faculdade de Filosofia, Ciências e Letras da USP-Ciências Sociais",,,FFCL-USP,1966,São Paulo - SP,,Guia,,213p.,Constam 2 exemplares.,
AB0077,"GIESBRECHT, Ernesto",Heinrich Rheinbolt 1891-1955. In: Memorian,,,,1960,s.l.,,,,12p.,,
AB0078,"GIESBRECHT, Ernesto",A obra científica de Heinrich Rheinbolt,Selecta de Chimica,,,1957,s.l.,,Separata,,p.5-26,Separata de Selecta Quimica 16,
AB0079,"BASTIDE, Paul Arbousse","Os Fundamentos do trabalho humano - a técnica, a profissão, a vocação ",,,Edigraf,1947,São Paulo - SP,,Livro,,35p.,,
AB0080,"ELLIS JR., Alfredo",A economia paulista no século XVIII,,Economia; São Paulo,Academia  Paulista de Letras,1979,São Paulo - SP,,Livro,,206p.,,
AB0081,"CARELLI, Mario (org.)",,Cahiers du Brésil Contemporain,,,1990,Paris-França,,Revista,n.12,174p.,,
AB0082,"HIRATA, Helena",Beth Lobo,Teoria & Debate,Elisabeth Lobo,PT,1991,São Paulo - SP,,Revista,n.14,p.30-2,,
AB0083,"MAURO, Frédéric","L'Histoire, en quête du temps et de l'espace",,,,1987,São Paulo - SP,,Texto,,p.17-22,,
AB0084,"GUERRA, José Augusto",Não eram só literatos os jovens de 22.,Cultura,,Cultura (MEC),1972,Brasília - DF,,Revista,n.2(5),p.17-22,,
AB0085,"BLAY, Eva Alterman; LANG, Beatriz","Seis Mulheres, Seis Trajetórias",Revista Ciência e Cultura,,,s.d.,São Paulo - SP,,Revista,,95p.,Cóp. xerox publicada no referido periódico,
AB0086,FFCL-USP,Relatório Anual da Diretoria apresentado à Congregação da FFCL-Exercício de 1964,,,FFCL-USP,1965,São Paulo - SP,,Relatório,,26p.,mimeo,
AB0087,FFCL-USP,Relatório Anual da Diretoria apresentado à Congregação da FFCL-Exercício de 1966,,,FFCL-USP,1966,São Paulo - SP,,Relatório,,31p.,mimeo,
AB0088,,Alunos matriculados em 1955. Curso Diurno.,,,FFCL - USP,1955,São Paulo - SP,,Papel.,,123p.,mimeo,
AB0089,FFCL-USP,Relatório Orçamentário-Exercício dee 1954,,,FFCL-USP,1954,São Paulo - SP,,Relatório,,,"Anexos n.1 a 7 (Constam atividades no decorrer de 1954 da FFCL-USP), 2 exemplares e 4p. Empressas e  Carta do Prof. Oscar ao Prof. Mário Schenberg, 2p., dat., mimeo)",
AB0090,"GIESBRECHT, Ernesto",Entrevista com Prof. Simão Schwartzmen,,,Finep,1979,Rio de Janeiro - RJ,,Entrevista,,50p.,,
AB0091,"MENDES, Erasmo Garcia",Uma conciliação histórica dentro da USP,,,,1991,São Paulo-SP,,Manuscrito,,9p.,,
AB0092,"MENDES, Erasmo Garcia",Departamento de Fisiologia Geral (1938-1984). ,Bolm Fisiol Animal,,USP,1985,São Paulo-SP,,Separata,n.9,p.7-32,,
AB0093,"MENDES, Erasmo Garcia",Do L.B.M. (1954) ao Cebimar (1982) da USP: um testemunho.,Bolm Fisiol Animal,,USP,1983,São Paulo-SP,,Separata,n.7,p.7-12,,
AB0094,,"Ensaios Paulistas. Contribuição de ""O Estado de São Paulo"" às Comemorações do IV Centenário da Cidade",,,Anhambi S.A,1958,São Paulo - SP,,Livro,v.1,433p.,Cop. Xerox,
AB0095,,"Ensaios Paulistas. Contribuição de ""O Estado de São Paulo"" às Comemorações do IV Centenário da Cidade",,,,1958,São Paulo - SP,,Livro,v.2,p.434-907,Cop. Xerox,
AB0096,"MENDES, Erasmo Garcia","Faculdade de Filosofia, Ciências e Letras: um dia decisivo.",,,USP,1991,São Paulo-SP,,Texto,,6p.,Manuscrito oferecido pelo prof. do Instituto de Biociências ao Projeto Memória,
AB0097,"SAFFIOTI, Waldemar",Sobre alguns compostos Hidrogênio - ligados. ,,,,1991,Araraquara - SP,,Artigo,,20p.,Artigo apresentado por ocasião do centenário do prof. Rheinbolt,
AB0098,,A cidade iluminada. Tecnologia e política a serviço da Light no início do século.,,,Divisão de Preservação do Patrimônio Arquitetônico Departamen-to do Patrimônio Histórico (DPH),1989,São Paulo - SP,,Catálogo de exposição,,68p.,,
AB0099,"CARDOSO, Irene de Arruda Ribeiro",Universidade da Comunhão Paulista. O Projeto de criação da Universidade de São Paulo,,,Cortez,1982,São Paulo - SP,,Livro,,187p.,,
AB0100,"AZEVEDO, Fernando de ",História de minha vida ,,"Fernando de Azevedo, biografia",Livraria José Olympio Editora,1971,Rio de Janeiro - RJ,,Livro,,,,
AB0101,"AZEVEDO, Fernando de ",Figuras de meu convívio. Retratos de Família e de mestres e educadores,,"Fernando de Azevedo, biografia",Duas Cidades,1973,São Paulo - SP,,Livro,,244p,,
AB0102,"PEREIRA, João Baptista Borges",Lembrando Egon Schaden.  ,Revista do Instituto de Estudos Brasileiros,,IEB,1992,São Paulo - SP,,Revista,n.33,p.9 - 16,Consta exemplar inteiro.,
AB0103,"LEVI-STRAUSS, Dina",Instruções práticas para pesquisas de Antropologia Física e Cultural,,,Depto. Municipal de Cultura,1936,São Paulo-SP,,Livro,,141p.,,
AB0104,"WETFALEN, Cecília Maria ","Faculdade de Filosofia, Ciências e Letras do Paraná: 50 anos",Westphalen,,SBPH - PR,1988,Curitiba - PR,,,,164p.,,
AB0105,"PEREIRA, Sergio Ferro (resp.)",Gremio da Faculdade de Filosofia,Teoria e Prática,,,1967,São Paulo-SP,,Revista,,142p.,,
AB0106,"MACHADO, Lourival Gomes",Tomás Antonio Gonzaga e o Direito Natural,,,Livraria Martins,1968,São Paulo - SP,,Livro,,168p.,"Introdução, revisão e notas de Oliveiros da Silva Ferreira. Edição póstuma",
AB0107,"FERNANDES, Florestan",Economia e Sociedade - Análise Sociológica do Desenvolvimento,,,CESIT - FFCL - USP,1962,São Paulo - SP,,Livro,,34p.,,
AB0108,USP,Centenário de criação da Faculdade de Medicina da USP,,,USP,1991,São Paulo - SP,,,,24p.,2 volumes,
AB0109,"ROY, Teresa M. Malatian",História Oral. Depoimentos em vídeo,Revista Estudos Históricos do Depto. História da FFCL - Unesp,,UNESP,1976,Marília - SP,,Separata,n.15,p.123-130,,
AB0110,AMERICANO Jorge,"A Universidade de São Paulo - Dados, problemas e planos",,Universidade de São Paulo,Empresa Gráfica da Revista dos Tribunais,1947,São Paulo - SP ,,Livro,,301,,
AB0111,"BARZUN, Jacques","The American University. How it runs, Where it is going",,Universidade americana,Harper & Row,1968,Nova Iorque - EUA,,Livro,,319p.,,
AB0112,"SANFORD, Nevitt (org.)",The American College. A psychological and social Interpretation of the Higher Learning,,,John Wiley & Sons,1962,Nova Iorque - EUA,,Livro,,1084,,
AB0113,,Aziz Ab'Saber - perfil,Revista Ciência Hoje,,,jul-92,,,Revista,n.14(82),p.46-54,,
AB0114,"HADDAD, Maria de Lourdes",Comemorando o cinquentenario da Faculdade de Filosofia de Minas Gerais. ,Revista do Depto. de História,,UFMG,1989,Belo Horizonte - MG,,Revista,n.9,p.7-20,,
AB0115,"RIBEIRO, R. J. (org.)",Colóquio Foucault,,,Brasiliense,1985,São Paulo - SP,,Resumo (comunicação),,15p.,,
AB0116,,O poder legislativo: três análises.,Revista Cadernos Alesp,,,1985,São Paulo - SP,,Revista,,36p.,,
AB0117,Reitoria da Universidade de São Paulo,Regimento interno do Conselho Universitário,,,,1948,São Paulo - SP,,Regimento,,35p.,,
AB0118,"PIERRE, George",Conferências no Brasil,,,IBGE,1970,São Paulo - SP,,,,76p.,,
AB0119,"MONTEIRO, Carlos Augusto de Figueiredo",A geografia no Brasil (1934-1977). Avaliação e Tendências.,,,Instituto de Geografia,1980,São Paulo-SP,,Livro,,155p.,,
AB0120,"MATHIAS, Simão et alii",Os acontecimentos da Rua Maria Antonia -Livro Branco,,,USP,1988,São Paulo - SP,,Livro,,118p.,,
AB0121,"D'INCAO, M. A; SCARABÔTOLO, E. F.","Dentro do texto, dentro da vida ",,Antonio Cândido. Homenagem.,Companhia das Letras/ Instituto Moreira Salles,1992,São Paulo - SP,,livro,,363p.,,
AB0122,"ARAÚJO FILHO, José Ribeiro","Santos, o porto do café",,,IBGE,1969,Rio de Janeiro - RJ,,[Livro],,200p.,,
AB0123,"MELIÁ, Bartolomeu",Homenagem a Egon Schaden. Em nome da etnologia guarani.,Revista USP,,EDUSP,1992,São Paulo-SP,,Revista,"n.13, mar.- mai.",p.74-77,,
AB0124,"FREITAS, Sônia Maria",Reminiscências da USP 1934-1954,,,,1992,São Paulo - SP,,Tese de Mestrado,,170p.,,
AB0125,FFLCH-USP,Programas  para 1971-História (Graduação),,,FFLCH-USP,1971,São Paulo - SP,,Programas,,69p.,,
AB0126,FFLCH-USP,Cátalogo dos Cursos de Graduação: Ciências Humanas,,,Seção de Publicações FFLCH - USP,1982,São Paulo - SP,,Catálogo,,50p.,,
AB0127,FFLCH-USP,Cátalogo dos Cursos de Graduação: Ciências Humanas,,,Seção de Publicações FFLCH - USP,1980,São Paulo - SP,,Catálogo,,51p.,Constam 2 exemplares.,
AB0128,FFLCH-USP,Cátalogo dos Cursos de Graduação: Ciências Humanas,,,Seção de Publicações FFLCH - USP,1981,São Paulo - SP,,Catálogo,,51p.,Constam 2 exemplares.,
AB0129,"SOUZA, Edgard Egydio de ",História da Light - primeiros 50 anos,,"Energia elétrica - história; The São Paulo Tramway, Light & Power Co. Ltd.; São Paulo (cidade) - história; desenvolvi-mento urbano; industrializa-ção",DPH/ Eletropaulo,1989,São Paulo - SP,,Livro,,200p.,,
AB0130,FFLCH-USP,Homenagem da Congregação à memória do Prof. Dr. Eurípedes Simões de Paula,,,FFLCH-USP,1977,São Paulo - SP,,,,16p.,Constam 5 exemplares/ Orador Prof. Dr. Eduardo d'Oliveira França,
AB0131,FFLCH-USP,Curso de Pós Graduação da FFLCH-USP. Resoluções gerais,,,Seção de Publicações FFLCH - USP,1985,São Paulo - SP,,Brochura,,,Constam 2 exemplares.,
AB0132,,Constituição do Estado de São Paulo,,,IMESP,1989,São Paulo - SP,,,,48p.,,
AB0133,FFLCH-USP,Regimento Geral da USP,,,FFLCH-USP,1976,São Paulo - SP,,Regimento,,109p.,,
AB0134,"REALE, Miguel",Perspectivas da Reforma Universitária,,,USP,1969,São Paulo - SP,,,,8p.,,
AB0135,FFLCH-USP,"Licenciatura curta ""Estudos Sociais"" e Ensino de Filosofia: Informe Crítico",,,FFLCH-USP,1977,São Paulo - SP,,,,11p.,,
AB0136,FFLCH-USP,Balanço de uma Gestão (1977-1981),,,FFCL-USP,1981,São Paulo - SP,,Relatório,,47p.,Prof. Dr. Erwin Theodor Rosenthal,
AB0137,,Composição administrativa e docente,Boletim Informativo,Composição administrati-va e docente da FFLCH-USP,FFLCH - USP,out./1971,São Paulo - SP,,Boletim,"ano 2, n.4",24p.,,
AB0138,,,Boletim Informativo,Composição administrati-va e docente da FFLCH-USP,FFLCH - USP,nov./1974,São Paulo - SP,,Boletim,"ano 5, n.9",27p.,Constam 2 exemplares.,
AB0139,,,Trans-form-ação. Revista de Filosofia,,FFCL - [UNESP],1974,Assis-SP,,Revista,n.1,315p.,,
AB0140,FFCL-USP,"Guia da Faculdade de Filosofia, Ciências e Letras da USP para 1965",,,FFCL-USP,1965,São Paulo - SP,,Guia,,169p.,Constam 5 exemplares,
AB0141,FFCL-USP,"Guia da Faculdade de Filosofia, Ciências e Letras da USP para 1966. Câmara de Letras",,,FFCL-USP,1966,São Paulo - SP,,Guia,,122p.,Constam 3 exemplares,
AB0142,FFCL-USP,Guia de Filosofia e Educação - FFCL-USP,,,FFCL-USP,1966,São Paulo - SP,,Guia,,116p.,Constam 3 exemplares,
