Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
AB0621,"SAMARA, Eni de Mesquita (org.)",,Estudos CEDHAL. Nova Série.Raça e família no Brasil,Raça e família no Brasil ,Humanitas - FFLCH-USP,1997,São Paulo-SP,,[Revista],n.9,68p.,,
AB0622,"SAMARA, Eni de Mesquita (org.)",Trabalho feminino e cidadania,,Mulher; trabalho; cidadania; globalização.,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Livro,,239p.,"Cursos e Eventos, Nova Série, 1. ",
AB0623,,,População e família,Família; população; demografia histórica.,Humanitas - FFLCH-USP,1998,São Paulo-SP,,[Revista],"v., n.1 (1998)",251p.,Publicação do CEDHAL.,
AB0624,"SILVA-SÁNCHEZ, Solange, S. ",Cidadania ambiental: novos direitos no Brasil ,,Meio ambiente; cidadania; política ambiental; movimentos sociais.,Humanitas - FFLCH-USP,2000,São Paulo-SP,,Livro,,203p.,,
AB0625,"SANTOS, Elina O",A industrialização de Sorocaba: bases geográficas,,Industrialização; geomorfologia; aerofoto. ,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Livro,,183p.,Série Teses.,
AB0626,,,Revista do Departamento de Geografia ,Ciências da terra; geografia humana., FFLCH-USP,2001,São Paulo-SP,,Revista,n.14,114p.,,
AB0627,,,Paisagens. Revista dos Estudantes de Geografia,,Humanitas - FFLCH-USP,2001,São Paulo-SP,,Revista,"ano 4, n.5",66p.,,
AB0628,,,Geo-USP - Espaço e Tempo,,Humanitas - FFLCH-USP,2002,São Paulo-SP,,Revista,n.11,203p.,,
AB0629,"LEONE, Alexandre G. ",A imagem divina e o pó da terra: humanismo sagrado e crítica da modernidade em A J. Heschel.,,Judaísmo; filosofia moderna; Abraham Joshua Heschel (1907-1972),Humanitas - FFLCH-USP/ FAPESP,2002,São Paulo-SP,,Livro,,240p.,,
AB0630,"BARBOSA, I. M. F. ",Enfrentando Preconceitos. Um estudo da escola como estratégia de superação de desigualdades. ,,,CMU/ UNICAMP,1997,Campinas - SP,,Livro,,250p.,"Coleção Tempo & Memória, 4.",
AB0631,"ANDRADA, Maria das Graças; ALMEIDA, Ataíde de ",A construção da verdade autoritária,,Pernambuco (História); autoritarismo; Igreja e política; imprensa,Humanitas - FFLCH-USP,2001,São Paulo-SP,,Livro,,316p.,Série Teses,
AB0632,"CAVALLEIRO, Elaine","Do silêncio do lar ao silêncio escolar: racismo, preconceito e discriminação na educação infantil",,Discriminação na educação - Brasil; educação de crianças; negros - educação - Brasil; preconceitos - Brasil - racismo; racismo - Brasil; relações interpessoais. ,Contexto,2000,São Paulo-SP,,Livro,,110p.,,
AB0633,"AZENHA JR., João",Tradução técnica e condicionantes culturais: primeiros passos para um estudo integrado,,Tradução técnica; interculturalidade.,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Livro,,158p.,[Série Teses],
AB0634,"OLIVEIRA, Marilza de ",Frases assertivas e sua variação nas línguas românicas: seu papel na aquisição,,,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Livro,,290p.,,
AB0635,"CAPELLARI, M. A",Quase Negros,,Romance brasileiro; literatura brasileira.,Humanitas - FFLCH-USP,2002,São Paulo-SP,,Livro,,165p.,,
AB0636,"SZPICZKOWSKI, Ana",Educação e Talmud: uma releitura da Ética dos Pais ,,Educação (teoria); judaísmo; talmude. ,Humanitas - FFLCH-USP/ FAPESP,2002,São Paulo-SP,,Livro,,219p.,[Série Teses],
AB0637,"MATTOS, R. V. M. (org.)",Para a história do português brasileiro ,,Filologia portuguesa; português do Brasil; mudança gramatical; ligüística histórica;  português do Brasil (história social),Humanitas - FFLCH-USP/ FAPESP,2001,São Paulo-SP,,Livro,"v.2, tomo 2",555p.,Parte integrante da série Primeiros Estudos,
AB0638,"BLÜHDORN, Hadarik",A codificação de informação espacial no alemão e no português do Brasil: adposições e advérbios como meios para especificar relações estáticas ,,Língua alemã; língua portuguesa; português do Brasil,Humanitas - FFLCH-USP/ FAPESP,2001,São Paulo-SP,,Livro,,418p.,,
AB0639,"VASCONCELLOS, P. S. ",Efeitos intertextuais na Eneida de Virgílio,,poesia épica latina; intertextualidade; Virgílio; Eneida,Humanitas - FFLCH-USP/ FAPESP,2001,São Paulo-SP,,Livro,,404p.,,
AB0640,,,Crop: revista da área de língua e literatura inglesa e norte americana do Departamento de Letras Modernas,Língua inglesa; literatura inglesa; literatura de expressão inglesa; crítica literária; tradução.,Humanitas - FFLCH-USP/ FAPESP,1994,São Paulo-SP,,Revista,n.6,284p.,,
AB0641,"RIGAMONTE, Rosani Cristina",Sertanejos contemporâneos: entre a metrópole e o sertão,,Migração (Brasil); antropologia cultural e social; São Paulo (Estado) - História.,Humanitas - FFLCH-USP/ FAPESP,2001,São Paulo-SP,,Livro,,255p.,,
AB0642,"DISCINI, Norma",Intertextualidade e conto maravilhoso,,Lingüística; intertextualidade; semiótica; literatura infanto-juvenil; conto brasileiro.,Humanitas - FFLCH-USP/ FAPESP,2001,São Paulo-SP,,Livro,,294p.,,
AB0643,"TORAL, André",Imagens em desordem: a iconografia da Guerra do Paraguai,,América Latina (História); Brasil (História); iconografia; Guerra do Paraguai,Humanitas - FFLCH-USP,2001,São Paulo-SP,,Livro,,216p.,,
AB0644,,,África. Revista do Centro de Estudos Africanos,Antropologia cultural e social; África; negros.,Humanitas - FFLCH-USP,1997-8,São Paulo-SP,,Revista,n.20-1,480p.,,
AB0645,"GUEDES, M.; BERLINCK, R. A (orgs.)",E os preços eram cômodos...: Anúncios de Jornais Brasileiros Século XIX,,Português do Brasil - História; jornais século XIX; jornais brasileiros; anúncios jornalísticos.,Humanitas - FFLCH-USP,2000,São Paulo-SP,,Livro,,465p.,"Série Diachronica: Fontes para a História da Língua Portuguesa, 2.",
AB0646,"NEVES, M. H. M. ",Gramática do português falado. Novos estudos,,Português (gramática); português (língua); fonologia; morfologia; sintaxe.,Editora da Unicamp,1999,Campinas - SP,,Livro,v.7,742p.,,
AB0647,,Estudos lingüísticos,,Lingüística.,UNESP,1998,São José do Rio Preto - SP,,Anais,n.27,917p.,,
AB0648,"BENEDETTI, Luiz R. ","Templo, praça, coração: a articulação do campo religioso católico",,Igreja; movimentos sociais; comunidades de base; política; mudança social. ,Humanitas - FFLCH/ CER- USP,2000,São Paulo-SP,,Livro,,382p.,"Série Religião e Sociedade Brasileira, 8. ",
AB0649,"OLIVEIRA, A M. D. ",Estudo crítico da bibliografia sobre Cecília de Meireles ,,"Poesia brasileira; literatura brasileira (história e crítica); Meireles, Cecília, 1901-1964 (bibliografia).",Humanitas - FFLCH-USP,2001,São Paulo-SP,,Livro,,336p.,"Série Fonte de Pesquisa, n.2.",
AB0650,"DUARTE, A S.",O dono da voz e a voz do dono: a parábase na comédia de Aristófanes,,Literatura grega; teatro grego; comédia; Aristófanes; oralidade; escrita; parábase.,Humanitas - FFLCH-USP/ FAPESP,2000,São Paulo-SP,,Livro,,308p.,,
AB0651,,,Dissenso. Revista de Estudantes de Filosofia,,Humanitas - FFLCH-USP,1o. sem. 1999,São Paulo-SP,,Revista,,167p.,,
AB0652,"ANDRADE, Maria Lúcia C. V. O",Relevância e contexto: o uso de digressões na língua falada,,Lingüística aplicada; comunicação verbal; digressão,Humanitas - FFLCH-USP/ FAPESP,2001,São Paulo-SP,,Livro,,252p.,,
AB0653,"SOUZA, Geraldo Tadeu",Introdução à teoria do enunciado concreto do círculo de Bakhtin/ Volochinov/ Medvedev ,,"Lingüística; metalingüística; Bakhtin, Mikhail Mikhailovich; enunciados; gêneros narrativos.",Humanitas - FFLCH-USP,2002,São Paulo-SP,,Livro,,149p.,,
AB0654,"BARROS, Diana Luz Pessoa de ",Teoria do discurso: fundamentos semióticos,,Análise do discurso; lingüística; semiótica.,Humanitas - FFLCH-USP,2001,São Paulo-SP,3a. ed,Livro,,172p.,,
AB0655,"MODESTO, Marcello","As construções clivadas no português do Brasil: relações entre interpretação focal, movimento sintático e prosódia ",,Português do Brasil; sintaxe; clivagem; prosódia. ,Humanitas - FFLCH-USP,2001,São Paulo-SP,,Livro,,132p.,,
AB0656,"FONTANILLE, Jacques; ZILBERBERG, Claude",Tensão e significação,,"Semiótica; lingüística; Zilberberg, Claude; Lopes, Ivã Carlos; Tatit, Luiz; Beividas, Waldir.",Humanitas - FFLCH-USP,2001,São Paulo-SP,,Livro,,331p.,,
AB0657,"ALVES, Ieda Maria (org.)",A constituição da normalização terminológica no Brasil,Caderno de Terminologia,Terminologia; normalização terminológica.,CITRAT/ FFLCH-USP,2001,São Paulo-SP,2a. ed.,caderno,n.1,58p.,,
AB0658,"PEREIRA, Marcos Aurelio",Quintiliano gramático: o papel do mestre de gramática na Institutio oratoria,,Latim (gramática); latim (língua); literatura latina; retórica; Quintiliano.,Humanitas - FFLCH-USP,2000,São Paulo-SP,,Livro,,195p.,,
AB0659,"MELO, Lélia Erbolato (org.)",Tópicos de psicolíngüística aplicada,,Psicolíngüística; desenvolvimento da linguagem; escrita; aquisição de língua estrangeira.,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Livro,,142p.,,
AB0660,,,Filologia e lingüística portuguesa,Lingüística; filologia; língua portuguesa.,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Revista,n.3,228p.,,
AB0661,,,Filologia e lingüística portuguesa,Lingüística; filologia; língua portuguesa.,Humanitas - FFLCH-USP,2001,São Paulo-SP,,Revista,n.4,298p.,,
AB0662,"RODRIGUES, A C. S.; GOLDSTEIN, N. S. ","Seminário de Filologia e Língua Portuguesa, 1.",,Lingüística textual; filologia; língua portuguesa; gramática funcional; língua falada; fonologia; terminologia.,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Anais,,184p.,,
AB0663,,,Língua e Literatura,Língua; literatura; teoria literária. ,Humanitas - FFLCH-USP,1998,São Paulo-SP,,Revista,n.24,193p.,,
AB0664,"NUNES, J. H.; PETTER, M. ",História do saber lexical e constituição de um léxico brasileiro,,Lingüística (história); língua portuguesa (Brasil); lexicologia; lexicografia.,Humanitas - FFLCH-USP/ Pontes,2002,São Paulo-SP,,Livro,,253p.,,
AB0665,Associação Nacional de Pós-Graduáção e Pesquisa em Letras e Lingüística (ANPOLL),"Em homenagem a Aryon Dall'Igna Rodrigues, por ocasião de seu 75o. Aniversário",,"RODRIGUES, Aryon Dall'Igna ",CEDOCH - DL - USP,[2000],São Paulo-SP,,Boletim,n.5,100p.,Publicação elaboarada pelo Grupo de Estudos em Historiografia da Lingüística Brasileira,
AB0666,"CRUZ JR., Dilson F. da ",Estratégias e máscaras de um fingidor: a crônica de Machado de Assis,,"Assis, Machado de (1839-1908) - crítica e interpretação; crônicas brasileiras; história e crítica,",Humanitas - FFLCH-USP/ FAPESP,2002,São Paulo-SP,,Livro,,238p.,,
AB0667,"MOSCA, L. L. S. (org.)",Retóricas de ontem e de hoje ,,Lingüística; comunicação; semiótica; retórica; argumentação; pragmática; opinião; eficácia; influência; ajuizamento; eloqüência.,Humanitas - FFLCH-USP,2001,São Paulo-SP,,Livro,,199p.,,
AB0668,"Departamento de Teoria Literária e Literatura Comparada, FFLCH - USP",,Magma Revista,Teoria literária; literatura comparada.,Humanitas - FFLCH-USP,2001,São Paulo-SP,,Revista,n.7,141p.,,
AB0669,Associação de Professores de Língua e Literatura,,Linha d'ägua: ensino de línguas e literaturas em debate,Literatura (ensino); linguagem (ensino); língua portuguesa.,Humanitas - FFLCH-USP,2001,São Paulo-SP,,Revista,n.15,135p.,,
AB0670,"PRETI, Dino (org.)",O discurso oral culto,,Língua oral; análise do discurso; linguagem culta; português - língua - Brasil; sociolingüística; estilística.,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Livro,,224p.,,
AB0671,"PRETI, Dino (org.)",Fala e escrita em questão,,Sociolingüística; língua portuguesa; português do Brasil; comunicação verbal; escrita.,Humanitas - FFLCH-USP,2001,São Paulo-SP,,Livro,,258p.,Publicação do Projeto de Estudos da Norma Lingüística Urbana Culta de São Paulo (Projeto NURC/SP - Núcleo USP).,
AB0672,"Departamento de Filosofia, FFLCH-USP",,Cadernos Wittgenstein,, FFLCH-USP,2001,São Paulo-SP,,caderno,,93p.,,
AB0673,"CANDIDO, Antonio",O romantismo no Brasil,,Literatura brasileira (história e crítica); romantismo (literatura),Humanitas - FFLCH-USP,2002,São Paulo-SP,,Livro,,105p.,,
AB0674,"MEIRELES, Selma Martins",Estratégias para manutenção de uma boa interação lingüística: dissensão e trabalho da face em diálogos do alemão,,Sociolingüística; língua alemã; dissensão; pragmática.,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Livro,,201p.,,
AB0675,"SIMONS, Maria A E.",As falas do silêncio em O fiel e a pedra de Osman Lins,,"Literatura brasileira; teoria literária; Lins, Osman",Humanitas - FFLCH-USP,1999,São Paulo-SP,,Livro,,152p.,,
AB0676,"CANDIDO, Antonio",Iniciação à literatura brasileira: resumo para principiantes,,Literatura brasileira,Humanitas - FFLCH-USP,1999,São Paulo-SP,3a. ed.,Livro,,98p.,,
AB0677,"CAMPOS, André Malta",O resgate do cadáver: o último canto d' A Ilíada,,Poesia épica latina; intertextualidade; Virgílio; Poesia épica grega; Homero; tradução; mitologia e mito.,Humanitas - FFLCH-USP,2000,São Paulo-SP,,Livro,,150p.,,
AB0678,"Departamento de Letras Clássicas e Vernáculas, FFLCH-USP",,Letras Clássicas,,Humanitas - FFLCH-USP,1997,São Paulo-SP,,Revista,n.1,201p.,,
AB0679,"Departamento de Letras Clássicas e Vernáculas, FFLCH-USP",,Letras Clássicas,,Humanitas - FFLCH-USP,2000,São Paulo-SP,,Revista,"ano 4, n.4",379p.,,
AB0680,"Departamento de Letras, FFLCH-USP",,Língua e Literatura,,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Revista, n.25,308p.,,
AB0681,"MITA, Chiyoko",Bastos: uma comunidade étnica japonesa no Brasil,,Imigração japonesa; comunidades; grupos étnicos; cooperativismo.,Humanitas - FFLCH-USP,1999,São Paulo-SP,,Livro,,224p.,,
AB0682,"BOGLÁR, Lajos",Mundo húngaro no Brasil: do século passado até 1942,,Imigração (Brasil); imigração húngara; povoamento; etnografia rural; etnografia urbana.,Humanitas - FFLCH-USP,2000,São Paulo-SP,,Livro,,288p.,,
AB0683,,,Cadernos de Cultura Armênia,Armênia (cultura); Armênia (história); língua armênia; literatura armênia.,Humanitas - FFLCH-USP,2001,São Paulo-SP,,caderno,[n.1],190p.,Título de capa: Armenusp I: Cadernos de Armênio ,
AB0684,"Departamento de Geografia, FFLCH-USP ",Encontro internacional: O mundo do cidadão. Um cidadão do mundo,,,FFLCH-USP,1996,São Paulo-SP,,Anais,,189p.,,
AB0685,Instituto de Estudos Avançados,,Estudos Avançados,Fome e desnutrição; São Paulo; ALCA; Raymundo Faoro.,IEA-USP,mai.-ago./2003,São Paulo-SP,,Revista,"v.17, n.48",347p.,,
AB0686,Instituto de Estudos Avançados,,Estudos Avançados, São Paulo; trabalho; violência; água.,IEA-USP,jan.-abr./2003,São Paulo-SP,,Revista,"v.17, n.47",307p.,,
AB0687,"PINHEIRO, A C. F. ",Da era das cadeiras isoladas à era dos grupos escolares na Paraíba,,"Educação, Paraíba, história; escolas primárias, Paraíba, história; escolas públicas, Paraíba, história; pesquisa educacional.",Universidade São Francisco/ Autores Associados,2002,São Paulo-SP,,Livro,,286p.,,
AB0688,,,Cadernos Nietzsche,,Grupo de Estudos Nietzsche (GEN) ,2003,São Paulo-SP,,Caderno,n.14,113p.,,
AB0689,Departamento de História,,Revista de História,"Braudel, Fernand; Revolução Francesa",FFLCH - USP,1o. sem. 2002,São Paulo - SP,,Revista,n. 146,266p.,Terceira Série,
AB0690,Departamento de História,,Revista de História,,FFLCH - USP,2o. sem. 2002,São Paulo - SP,,Revista,n. 147,245p.,Terceira Série,
AB0691,"MARCELINO, Márcio Michalczuk",A evolução urbana no Parque do Peruche e sua gente,,Entrevistas; Parque Peruche (São Paulo - SP) - descrição; Parque Peruche (São Paulo - SP) - fotografias; Parque Peruche (São Paulo - SP) - história.,Carthago Editorial,2003,São Paulo - SP,,Livro,,104p.,,
AB0692,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investiga-ciones Regionales de Mesoamérica ,dez./1984,Antigua - Guatemala,,Caderno,"ano 5, n.8",409p.,,
AB0693,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1985,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 6, n.9",205p.,Número Especial: Honduras,
AB0694,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1985,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 6, n.10",481p.,,
AB0695,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1987,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 8, n.13",327p.,,
AB0696,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1987,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 8, n.14",571p.,Número especial sobre a obra Spaniards and Indians in Southeastern Mesoamerica.,
AB0697,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1988,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 9, n.15",238p.,,
AB0698,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1991,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 12, n.21",149p.,Número Especial: El Salvador,
AB0699,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1991,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 12, n.22",360p.,,
AB0700,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1992,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 13, n.24",512p.,,
AB0701,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1993,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 14, n.25",191p.,,
AB0702,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1993,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 14, n.26",375p.,,
AB0703,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1994,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 15, n.27",230p.,,
AB0704,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1994,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 15, n.28",429p.,,
AB0705,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1995,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 16, n.29",261p.,Número especial: A  luta pela terra na última fronteira da América Central.,
AB0706,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1995,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 16, n.30",465p.,,
AB0707,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1996,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 17, n.31",282p.,Número especial: Estudos comparativos entre Costa Rica e Guatemala. Aspectos da história urbana da América Central. ,
AB0708,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1996,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 17, n.32",735p.,Consta neste exemplar o índice geral (1980-1996) da referida publicação. ,
AB0709,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1997,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 18, n.33",340p.,Número especial: Aspectos étnicos e religiosos.,
AB0710,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1997,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 18, n.34",787p.,"Número especial: Os meios informativos, as adoções na Guatemala e a obra de Francisco Goldman.",
AB0711,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./1998,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 19, n.36",769p.,,
AB0712,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./1999,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 19, n.37",302p.,,
AB0713,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./2000,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 21, n.39",490p.,,
AB0714,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./2000,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 21, n.40",260p.,,
AB0715,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./2001,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 21, n.41",258p.,,
AB0716,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,dez./2001,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 22, n.42",338p.,,
AB0717,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jun./2002,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 23, n.43",223p.,,
AB0718,,,Mesoamérica,Antropologia; história; arqueologia; sociologia; etnografia; economia; etnohistória; etnologia; demografia; geografia; lingüística.,Centro de Investigacio-nes Regionales de Mesoamérica/ Plumstock Mesoamerican Studies,jan.-dez./2003,Antigua - Guatemala/ Vermont - EUA,,Caderno,"ano 24, n.45",284p.,,
AB0719,,Estatutos dos Servidores da USP,,,FFCL-USP,s.d.,São Paulo - SP,,,,,"Notas e índice remissivo preparados por Fábio Prado, advogado da Reitoria da USP",
AB0720,"FREITAS, Marcos Cezar de (org.)",O irracionalismo na educação brasileira ,Cadernos do Centro de Memória Regional,História; história da educação; integralismo; Enciclopédia Integralista da Educação,CMR,1994,Bragança Paulista - SP,,Caderno,"v.2, n.4",68p.,,
AB0721,"PENTEADO, Heloisa Dupas",A televisão e o adolescentes: a sedução dos inocentes,,Sociologia da educação; educação; meios de comunicação de massa; televisão - educação,FFLCH-USP,1980,São Paulo - SP,,Livro,v.22,173p.,Série Estudos e Documentos.,
AB0722,,,Revista Imaginário,Diversidade cultural,NIME/LABI-Instituto de Psicologia-USP,2003,São Paulo-SP,,Revista,n.9,341p.,,
AB0723,,,Estudos Avançados,Mulher; geração de empregos; história cultural; Rússia hoje.,IEA-USP,set.-dez./2003,São Paulo-SP,,Revista,"v.17, n.49",372p.,,
AB0724,"KAREPOVS, Dainis (coord.)",Catálogo das obras de Ruy Barbosa,,"Barbosa, Ruy (obras)",Assembléia Legislativa do Estado ,2003,São Paulo-SP,,Catálogo,,102p.,Coleção Macedo Soares. Série Instrumentos de Pesquisa n.2.,
AB0725,USP,Anuário Estatístico,,,USP,1993,São Paulo - SP,,Anuário,,300p.,,
AB0726,USP,Anuário Estatístico,,,USP,1994,São Paulo - SP,,Anuário,,326p.,,
AB0727,USP,Anuário Estatístico,,,USP,1995,São Paulo - SP,,Anuário,,300p.,,
AB0728,"IUMATI, Paulo Teixeira ",Relatório para o exame de qualificação - Caio Prado Júnior - historiador (1932-1966),,PRADO JR. Caio,,1999,São Paulo - SP,,Relatório,,138p.,Acompanha 1 cóp. xerox,
AB0729,"SOUSA, P. A M.",Relatório de qualificação (projeto de pesquisa) - Heródoto e os fundamentos da monarquia,,,,1999,São Paulo - SP,,Relatório,,43p.,,
AB0730,"SOUSA, P. A M.",Relatório de qualificação (atividades de pós graduação ) - Heródoto e os fundamentos da monarquia,,,,1999,São Paulo - SP,,Relatório,,4p.,,
AB0731,"RODRIGUES, F.L.","Relatório para exame de qualificação - Vozes do mar. A trajetória da Associação dos Marinheiros e Fuzileiros Navais do Brasil, 1962-1964",,,,2001,São Paulo - SP,,Relatório,,117p.,,
AB0732,"SOUSA, P. A M.",Relatório de qualificação (produção de texto) - Heródoto e os fundamentos da monarquia,,,,1999,São Paulo - SP,,Relatório,,113p.,,
AB0733,,,Estudos Avançados,,IEA-USP,jan.-mar./1988,São Paulo - SP,,Revista,"v.2, n.1",109p.,,
AB0734,,,Estudos Avançados,,IEA-USP,mai.-ago./1988,São Paulo - SP,,Revista,"v.2, n.2",91p.,,
