Tombo,Autor,Título,Finalidade,Comissão Julgadora,Departamento ,Local,ano,nº páginas,Obs: ,Localização
MCJ-10,"Jubran, Safa Alfred Abou Chahla ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente  na Área de Língua e Literatura Árabe, disciplina de Língua Árabe ",Mamede Mustafa Jarouche - DLO-FFLCH/ Zilda Maria Zapparoli - DLO-FFLCH/  Mohamed Ezz El-Din Mostafa Habib - UNICAMP/ Soraya Soubhi Smaili - UNIFESP/ Vânia Leite Fróes - UFF-RJ,Departamento de Letras Orientais ,São Paulo,2010,48p. ,,Módulo 1      Cx. J-01
MCJ-11,"Jackson, Luiz Carlos ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Sociologia da Cultura ,Maria Arminda do Nascimento Arruda - DS-FFLCH/  Sérgio Miceli Pessôa  de Barros - DS-FFLCH/ Heloisa André Pontes - UNICAMP/ Marcelo Siqueira Ridenti - UNICAMP/ Carlos Washington Altamiro - Universidade de Quilmes-Argentina,Departamento de Sociologia ,São Paulo,2012,18p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. J-01
MCJ-12,"Junqueira, Mary Anne",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História dos Estados Unidos ,Maria Helena Rolim Capelato - DH-FFLCH/ Maria Lígia Coelho Prado - DH-FFLCH/ Leila Mezan Algranti - UNICAMP/ Janaina Passos Amado - UnB/ Lucia Maria Paschoal Guimarães - UERJ ,Departmento de História ,São Paulo,2012,72p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. J-01
,,,,,,,,,,
K,,,,,,,,,,
MCK-01,"Kinzo, Maria D´Alva ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Instituições Políticas Brasileiras,,Departamento de Ciências Políticas,São Paulo,1999,71p. ,,Módulo 1      Cx. K-01
MCK-02,"Kuntz, Rolf",Memorial ,Concurso público de Títulos e provas na função de Professor ,,[Departamento de  Filosofia],São Paulo,[2009],47p. ,02 exemplares,Módulo 1      Cx. K-01
MCK-03,"Krausz, Luis Sergio ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Literatura Hebraica, disciplina de Literatura Hebraica Moderna e Contemporânea B",Moacir Aparecido Amâncio - DLO-FFLCH/ Nancy Rozenchan - DLO -FFLCH/ Anita Brumer - UFRGS/ Márcio Orlando Seligmann-Silva - UNICAMP/ Suzi Frankl Sperber - UNICAMP,Departamento de Letras Orientais,São Paulo,2015,31p. ,,
,,,,,,,,,,
L,,,,,,,,,,
MCL-01,"Lencioni, Sandra ",Memorial - complementação ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,s.d. ,10p. ,,Módulo 1      Cx. L-01
MCL-02,"Leonzo, Nanci ",Currículo ,,,Departamento de História ,São Paulo ,s.d.,30p. ,,Módulo 1      Cx. L-01
MCL-03,"Leonzo, Nanci ",Currículo ,,,Departamento de História ,São Paulo ,1982,06p.,,Módulo 1      Cx. L-01
MCL-04,"Lencioni, Sandra ",Memorial ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,1988,51p. ,,Módulo 1      Cx. L-01
MCL-05,"Leite, Marli Quadros ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na  Área de língua  Portuguesa ,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2006,84p. ,,Módulo 1      Cx. L-01
MCL-06,"Lencioni, Sandra ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular,Amália Inês Geraiges Lemos - DG-FFLCH/ Eni de Mesquita Samara - DH-FFLCH/ Pedro Roberto  Jacobi - FE-USP/ Myriam Krasilchik - FE-USP/ Sueli Therezinha Ramos Schiffer - FAU-USP ,Departamento de Geografia ,São Paulo ,2006,161p. ,Acompanha relatório final do concurso público - 02 exemplares,Módulo 1      Cx. L-01
MCL-07,"Limongi, Fernando de Magalhães Papaterra ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular,Maria Hermínia Brandão Tavares de Almeida - DCP-FFLCH/ Leôncio Martins Rodrigues - DCP-FFLCH/ Wanderley Guilherme dos Santos - IUPERJ/ Renato Raul Boschi- IUPERJ/ Maria Rita Garcia Loureiro Durand - FEA-USP ,Departamento de Ciência Política ,São Paulo,2006,75p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. L-01
MCL-08,"Lima-Hernandez, Maria Célia ",Memorial,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Filologia e Língua Portuguesa ,Benjamin Abdala Junior - DLCV-FFLCH/ Ieda Maria Alves - DLCV-FFLCH/ Maria Luiza Braga - UFRJ/ Maria Helena de Moura Neves - UNESP - Araraquara / Maria Cecília de Magalhães Mollica -  UFRJ ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2010,82p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. L-01
MCL-09,"Lugarinho, Mário César",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Literaturas Africanas de Língua Portuguesa: Tradição e ruptura nas literaturas africanas de Língua Portuguesa,Benjamin Abdala Júnior- DLCV-FFLCH/ Tania Celestino de Macêdo - DLCV-FFLCH/ Sebastião Josué Votre - UFF/  Maria da Conceição Monteiro - UERJ/ Eneida Leal Cunha - PUC-RJ ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2012,23p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. L-01
MCL-10,"La Taille, Elizabeth Harkot de ",,"Concurso público de Títulos e provas na função de Professor Livre-Docente na  Área de Estudos Linguístico e Literários em Inglês, disciplina: Língua Inglesa","Walkyria Maria Monte Mór - DLM-FFLCH/ Zilda Maria Zapparoli - FLL-FFLCH/ Jean-Marie Klinkenberg - Univ. de Liège, Belgica/ Arnaldo Cortina - UNESP/  Leila Cristina de Mello Darin - PUC-SP",Departamento de Letras Modernas ,São Paulo,2013,82p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. L-01
MCL-11,"Leite, Marli Quadros ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular  na  Área de Filologia e Língua Portuguesa,"João Roberto Gomes de Faria - DLCV-FFLCH/ Dino Fioravante Preti - DLCV-FFLCH/ Maria Thereza Fraga Rocco - FE-USP/ Carlos da Costa Assunção - UTAD/ Maria Helena de Moura Neves - UNESP, especialista de Reconhecido Saber",Departamento de Letras Clássicas e Vernáculas ,São Paulo,2013,136p. ,,
MCL-12,"Luchiari, Ailton ",Memorial ,Concurso público de Títulos e provas na função de Professor.,,Departamento de Geografia ,São Paulo,2013,73p. ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
M,,,,,,,,,,
MCM-01,"Marcílio, Maria Luiza",Currículo ,,,Departmento de História ,São Paulo,s.d.,19p. ,,Módulo 1      Cx. M-01
MCM-02,"Marso, Adalberto ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,02p. ,,Módulo 1      Cx. M-01
MCM-03,"Marso, Adalberto ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,02p. ,,Módulo 1      Cx. M-01
MCM-04,"Mathias, Simão ",Currículo ,,,Departamento de História ,São Paulo,s.d.,07p. ,,Módulo 1      Cx. M-01
MCM-05,"Matos, Odilon Nogueira de ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,02p. ,com cópia ,Módulo 1      Cx. M-01
MCM-06,"Mauro, José  Eduardo Marques ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,13p. ,,Módulo 1      Cx. M-01
MCM-07,"Mello, José Roberto de Almeida ",Currículo ,,,Depatamento de História ,São Paulo,s.d. ,12p. ,,Módulo 1      Cx. M-01
MCM-08,"Mello, José Roberto de Almeida ",Currículo ,,,Depatamento de História ,São Paulo,s.d. ,15p. ,,Módulo 1      Cx. M-01
MCM-09,"Meneses, Ulpiano Toledo Bezerra de ",Currículo ,,,Depatamento de História ,São Paulo,s.d.,14p. ,,Módulo 1      Cx. M-01
MCM-10,"Mesgravis, Laima ",Currículo ,,,Depatamento de História ,Depatamento de História ,s.d.,18p. ,,Módulo 1      Cx. M-01
MCM-11,"Mesgravis, Laima ",Currículo ,,,Depatamento de História ,Depatamento de História ,s.d.,02p. ,,Módulo 1      Cx. M-01
MCM-12,"Mesgravis, Laima ",Currículo ,,,Depatamento de História ,Depatamento de História ,s.d.,13p. ,,Módulo 1      Cx. M-01
MCM-13,"Meyhi, José Carlos Sebe Bom ",Memorial ,,,Depatamento de História ,São Paulo,s.d. ,12p. ,,Módulo 1      Cx. M-01
MCM-14,"Mota, Carlos Guilherme Santos Serôa da Mota ",Currículo ,,,Departamento de História ,São Paulo ,s.d. ,16p. ,,Módulo 1      Cx. M-01
MCM-15,"Marso, Adalberto ",Currículo ,,,Departamento de História ,São Paulo,1965,05p. ,,Módulo 1      Cx. M-01
MCM-16,"Mussoline, Gioconda ",Currículo ,,,Departamento de Antropologia ,São Paulo,1965,11p. ,,Módulo 1      Cx. M-01
MCM-17,"Mota, Jorge César ",Currículo ,,,Departamento de História ,São Paulo,1970,06p. ,,Módulo 1      Cx. M-01
MCM-18,"Marcílio, Maria Luiza",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente na disciplina de História Contemporânea,,Departmento de História ,São Paulo,1974,71p. ,,Módulo 1      Cx. M-01
MCM-19,"Mota, Jorge César ",Memorial ,Concurso público de Títulos e provas na função de Professor- Assistente ,,Departamento de História ,São Paulo,1981,32p. ,,Módulo 1      Cx. M-01
MCM-20,"Motoyama, Shozo",Currículo ,,,Departamento de História ,São Paulo ,1982,22p. ,,Módulo 1      Cx. M-01
MCM-21,"Marso, Adalberto ",Currículo ,,,Departamento de História ,São Paulo,1983,14p. ,,Módulo 1      Cx. M-01
MCM-22,"Meneses, Ulpiano Toledo Bezerra de ",Memorial ,,,Depatamento de História ,São Paulo,1987,29p. ,,Módulo 1      Cx. M-01
MCM-23,"Meyhi, José Carlos Sebe Bom ",Memorial ,Concurso público de ingresso ,,Departamento de História ,São Paulo,1987,95p. ,,Módulo 1      Cx. M-01
MCM-24,"Moura, Esmeralda Blanco Bolsonaro de",Memorial ,,,Departamento de História ,São Paulo ,1987,13p. ,,Módulo 1      Cx. M-01
MCM-25,"Mamigonian, Armen",Memorial ,,,Departamento de Geografia ,São Paulo,1988,09p. ,"cópia, manuscrito ",Módulo 1      Cx. M-01
MCM-26,"Marangoni, Ana Maria Marques Camargo ",Memorial,,,Departamento de Geografia ,São Paulo,1988,26p. ,"Acompanha: ""Memorial de Atividades do Laboratório de Geografia Humana""  - 1986 - 15p. ",Módulo 1      Cx. M-01
MCM-27,"Martinelli, Marcello ",Memorial ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,1988,73p. ,,Módulo 1      Cx. M-02
MCM-28,"Miranda, Orlando ",Memorial ,Concurso de provimento efetivo do cargo de  Professor  Assistente ,,Departamento de Sociologia ,São Paulo,1988,122p. ,,Módulo 1      Cx. M-02
MCM-29,"Moraes, Antonio Carlos Robert ",Memorial ,,,Departamento de Geografia ,São Paulo,1988,13p. ,,Módulo 1      Cx. M-02
MCM-30,"Marcílio, Maria Luiza",Currículo ,,,Departmento de História ,São Paulo,1990,44p. ,,Módulo 1      Cx. M-02
MCM-31,"Martinelli, Marcello ",Memorial - complementação ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,1990,13p. ,,Módulo 1      Cx. M-02
MCM-32,"Moura, Esmeralda Blanco Bolsonaro de",Currículo ,,,Departamento de História ,São Paulo ,1990,17p. ,,Módulo 1      Cx. M-02
MCM-33,"Marton, Scarlett Zerbetto ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente em Filosofia,,Departamento de Filosofia,São Paulo,1998,52p. ,,Módulo 1      Cx. M-02
MCM-34,"Moura, Margarida Moura ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docência,,Departamento de Antropologia ,São Paulo,2000,192p. ,,Módulo 1      Cx. M-02
MCM-35,"Marton, Scarlett Zerbetto ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular em História da Filosofia Contemporânea,,Departamento de Filosofia,São Paulo,2003,267p. ,,Módulo 1      Cx. M-02
MCM-36,"Mamigonian, Armem",Memorial ,Concurso público de Títulos e provas na função de Professor ,,Departamento de Geografia ,São Paulo,2004,26p. ,02 exemplares ,Módulo 1      Cx. M-03
MCM-37,"Machado, Maria Helena  P. T. ",Memorial ,Concurso público de Títulos e provas na função de Professor,Elias Thomé Saliba - DH-FFLCH/ Maria Odila Leite da Silva Dias - DH-FFLCH/ Robert Wayne Andrew Slenes - UNICAMP/ Michael McDonald Hall - UNICAMP/ Francisco Foot Hardman - UNICAMP ,Departamento de História ,São Paulo,2005,69p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. M-03
MCM-38,"Moisés, José Álvaro ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular,,Departamento de Ciência Política ,São Paulo,2005,131p. ,02 exemplares ,Módulo 1      Cx. M-03
MCM-39,"Moraes, Antonio Carlos Robert ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular,"Glezer, Raquel -DH-FFLCH/ Stefan Wilhelm Bolle - DLM-FFLCH/ Maria Cristina Cacciamali - FEA-USP / Sylvio Barros Sawaya - FAU-USP/ Alvanir de Figueiredo - UNESP-Presidente Prudente",Departamento de Geografia ,São Paulo,2005,71p. ,,Módulo 1      Cx. M-03
MCM-40,"Moraes, Antonio Dimas de ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na disciplina  Literatura Brasileira ,Alfredo Bosi - DLCV-FFLCH/ Celso Lafer - FD-USP/ Sandra Jatahy Pesavento - UFRGS/ Marisa Philbert Lajolo - UNICAMP / Regina Zilberman - PUC-RJ ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2006,128p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. M-03
MCM-41,"Marques, Eduardo Cesar Leão ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,,Departamento de Ciência Política ,São Paulo,2007,32p. ,02 exemplares ,Módulo 1      Cx. M-03
MCM-42,"Martin, André Roberto ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,Leonel Itaussu de Almeida Mello  - DCP-FFLCH/ Antonio Carlos Robert Moraes - DG-FFLCH/ Marco Aurélio Nogueira Oliveira e Silva - UNESP - Araraquara/ Tullo Vigevani - UNESP - Marília/ Shiguenoli Miyamoto - UNICAMP ,Departamento de Geografia ,São Paulo,2007,26p. ,Acompanha relatório final do concurso público - 2 exemplares,Módulo 1      Cx. M-03
MCM-43,"Morais, Maria Aparecida Correa Ribeiro Torres ",Memorial,"Concurso público de Títulos e provas na função de Professor Livre-Docência na Área de Filologia e Língua Portuguesa, disciplina de Linguística Histórica",Esmeralda Vailati Negrão - DL-FFLCH/ Marilza de Oliveira - DLCV-FFLCH/ Ilza Maria de Oliveira Ribeiro - UEFS-BA/ Mary Aizawa Kato - UNICAMP/ Charlotte Marie Chambelland Galves - UNICAMP,Departamento de Letras Clássicas e Vernáculas ,São Paulo ,2007,69p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. M-03
MCM-44,"Mosca, Lineide do Lago Salvador",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docência na Área de Filologia e Língua Portuguesa ,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2007,190p. ,02 exemplares ,Módulo 1      Cx. M-03
MCM-45,"Mazzari, Marcus Vinicius",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Teoria Literária (D),Franklin Leopoldo e Silva - DF-FFLCH/ Davi Arriguci Júnior - DTLLC-FFLCH/ Jeanne Marie Gagnebin De Bons - UNICAMP- PUC-SP/ Suzi Frankl Sperber - UNICAMP/ Paulo Azevedo Bezerra - UFF ,Departamento de Teoria Literária e Literatura Comparada ,São Paulo,2008,39p. ,02 exemplares ,Módulo 1      Cx. M-03
MCM-46,"Macêdo, Tania Celestino de",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área de Literaturas Africanas de Língua Portuguesa ,Benjamin Abdala Junior - DLCV-FFLCH/ Kabengele Munanga - DA-FFLCH/ Antonio Manoel dos Santos Silva - UNESP - São José do Rio Preto/ Maria Luiza Ritzel Remédios - PUC-RS/ Adilson Odair Citelli - ECA -USP,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2009,129p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-04
MCM-47,"Mammi, Lorenzo ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente  na Área de História da Filosofia Medieval ,Ricardo Ribeiro Terra - DF-FFLCH/ Modesto Florenzano - DH-FFLCH/ Francisco Benjamin de Souza Neto - UNICAMP/ Carlos Arthur Ribeiro do Nascimento - PUC-SP/ Danilo Marcondes de Souza Filho - PUC-RJ ,Departamento de Filosofia ,São Paulo,6/8/2009,34p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-04
MCM-48,"Menezes, Paulo Roberto  de Arruda",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Sociologia da Cultura ,Maria Arminda do Nascimento Arruda - DS-FFLCH/ Olgária Chain Feres Matos - DF-FFLCH/ Etienne Ghislain Samain - UNICAMP/ Maria Dora Genis Mourão - ECA-USP/ Marcelo Siqueira Ridenti - UNICAMP ,Departamento de Sociologia ,São Paulo,2009,63p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-04
MCM-49,"Magnani, José Guilherme Cantor",Memorial,Concurso público de Títulos e provas na função de Professor  Livre-Docente  na Área de Antropologia Urbana ,Sylvia Maria Caiuby Novaes - DA-FFLCH/ Eunice Ribeiro Durham - DA-FFLCH/Marília Pontes Sposito - FE-USP/ Antonio Augusto Arantes Neto - UNICAMP/ Peter Henry Fry - UFRJ,Departamento de Antropologia ,São Paulo,2010,36p. ,"Acompanha relatório final do concurso público. Acompanha, anexo, curriculo  Lattes de 53p. 02 exemplares",Módulo 1      Cx. M-04
MCM-50,"Mór, Walkyria Monte",Memorial,"Concurso público de Títulos e provas na função de Professor Titular na Área de Estudos Linguísticos e Literários em Inglês, disciplina de Língua Inglesa ",Lynn Mário Trindade Menezes de Souza - DLM-FFLCH/ Laura Patrícia Zuntini de Izarra - DLM - FFLCH/ Maria Thereza Fraga Rocco - FE-USP/ Kanavillil Rajagopalan - UNICAMP / Vera Lúcia Menezes de Oliveira e Paiva - UFMG,Departamento de Letras Modernas ,São Paulo,2010,60p. ,,Módulo 1      Cx. M-04
MCM-51,"Moura, Carlos Alberto Ribeiro de  ",Memorial ,Concurso público de Títulos e provas na função de Professor Doutor na Área de História da Filosofia Contemporânea,Ricardo Ribeiro Terra - DF-FFLCH/  José Arthur Giannotti - DF-FFLCH/ Raul Ferreira Landim Filho - UFRJ/ Guido Antonio de Almeida - UFRJ/ Ivan Domingues - UFMG ,Departamento de Filosofia ,São Paulo,2010,189p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-04
MCM-52,"Machado, Maria Helena  P. T. ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular,Raquel Glezer - DH-FFLCH/ Antonio Carlos Robert Moraes - DG - FFLCH/ Silvia Fernanda de Mendonça Figueirôa - UNICAMP/ Luiz Carlos Soares - UFF/ Maria Stella Martins Bresciani - FAU-USP,Departamento de História ,São Paulo,2011,138p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-04
MCM-53,"Muhana , Adma Fadul ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na  Área de Literatura Portuguesa - opção 03 - Literatura em Português Clássico ,João Adolfo Hansen - DLCV-FFLCH/ Lênia Márcia de Medeiros Mongelli - DLCV-FFLCH/ Mário Henrique Simão D´Agostino - FAU-USP/ Jacyntho José Lins Brandão - UFMG/ Roberto Acizelo Quelha de Souza -UERJ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2011,56p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-04
MCM-55,"Magnani, José Guilherme Cantor",Memorial,Concurso público de Títulos e provas na função de Professor Titular,Sylvia Maria Caiuby Novaes -  DA-FFLCH/ João Baptista Borges Pereira - DA-FFLCH/ Ana Lúcia Duarte Lanna- FAU-USP/ Guita Grin Debert - UNICAMP/ José Aldemir de Oliveira - UFAM,Departamento de Antropologia ,São Paulo,2012,40p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-05
MCM-56,"Marquese, Rafael de Bivar ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História da América Colonial ,Carlos Alberto de Moura Zeron - DH-FFLCH/ Antonio Penalves Rocha - DH-FFLCH/ Luiz Felipe de Alencastro- Universidade de Paris/ Hebe  Maria da Costa Mattos Gomes de Castro - UFF/ Silvia Hunold Lara  - UNICAMP ,Departamento de História ,São Paulo,2012,44p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-05
MCM-57,aswa,Memorial,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História Ibérica   ,Vera Lúcia do Amaral Ferlini - DH-FFLCH/ Maria Helena Rolim Capelato - DH-FFLCH/ Ângela Maria de Castro Gomes - UFF e FGV/ Francisco Carlos Teixeira da Silva - UFRJ/ Antonio Jorge Pais Costa Pinto - ICS e Universidade de Lisboa ,Departamento de História ,São Paulo,2012,53p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-05
MCM-58,"Meireles, Selma Martins ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Literatura Alemã, disciplina de língua Alemã","João Azenha Junior - DLM -FFLCH/ Stella Esther Ortweiller Tagnin - DLM -FFLCH/ Eliana Amarante de Mendonça Mendes - UFMG/ Hardarik Gerhard Jürgen Blühdorn - Institut für Deutsche Sprache, Mannheim/  Carmem Zink Bolognini - UNICAMP",Departamento de Letras Modernas ,São Paulo,2012,63p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-05
MCM-59,"Milton, John","Memorial: "" E o sol se põe sobre Osasco""'",Concurso público de Títulos e provas na função de Professor Titular,Francis Henrik Aubert - DLM - fflch/ Jerusa de Carvalho Pires Ferreira - ECA-USP/ John Robert Schmitz - UNICAMP/ Kanavillil Rajagopalan - UNICAMP/ Leila Cristina de Mello Darin - PUC-SP,Departamento de Letras Modernas ,São Paulo,2012,80p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. M-05
MCM-60,"Musse, Ricardo ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Teoria Crítica da Sociedade ,Antônio Flávio de Oliveira Pierucci - DS-USP/ Sedi Hirano- DS-USP/ Wolfgang Leo Maar -UFSCar/ João Carlos Brum Torres- UFRGS/ Celso Frederico- ECA-USP,Departamento de Sociologia ,São Paulo,2012,26p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. M-05
MCM-61,"Martinelli, Marcello ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na área de Geografia ,,Departamento de Geografia ,São Paulo,2004,145p. ,,
MCM-62,"Martins, Paulo",Memorial + currículo ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Literatura Latina, especialidade: Literatura",João Ângelo Oliva Neto - DLCV-FFLCH/ Zélia Ladeira Veras de Almeida Cardoso - DLCV- FFLCH/ Pedro Paulo Abreu Funari - UNICAMP /  Luiz César  Marques Filho - UNICAMP/ Jacyntho José Lins Brandão - UFMG,Departamento de Letras Clássica e Vernáculas ,São Paulo,2013,77p. ,Acompanha relatório final do concurso público.,
MCM - 63 ,"Megiani, Ana Paula Torres",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na disciplina de História ibérica -I ,Francisco Carlos Palomanes Martinho- DH-FFLCH/ Laura de Mello e Souza - DH-FFLCH/ Leila Mezan Algrandi - UNICAMP/ Ana Lúcia Duarte Lanna - FAU-USP/ Caio César Boschi - PUC - MG /UFMG,Departamento de História ,São Paulo,2015,147p. ,Acompanha relatório final do concurso público.,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
N,,,,,,,,,,
MCN-01,"Nogueira, Carlos Roberto Figueiredo ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,40p. ,,Módulo 1      Cx. N-01
MCN-02,"Novinsky, Anita Waingort ",Currículo,,,Departamento de História ,São Paulo,s.d. ,16p. ,,Módulo 1      Cx. N-01
MCN-03,"Novinsky, Anita Waingort ",Currículo - suscinto,,,Departamento de História ,São Paulo,s.d. ,6p. ,,Módulo 1      Cx. N-01
MCN-04,"Nogueira, Carlos Roberto Figueiredo ",Memorial ,Concurso público de Títulos e provas na função de Professor -Assistente ,,Departamento de História ,São Paulo ,1987,31p. ,,Módulo 1      Cx. N-01
MCN-05,"Nascimento, Benedicto Heloiz ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,,Departamento de História ,São Paulo,1989,30p. ,,Módulo 1      Cx. N-01
MCN-06,"Negrão, Esmeralda  Vailati ",Memorial,Concurso público de Títulos e provas na função de Professor Livre-Docente ,,Departamento de Linguística ,São Paulo,1999,66p. ,,Módulo 1      Cx. N-01
MCN-07,"Negrão, Esmeralda  Vailati ",Memorial,Concurso público de Títulos e provas na função de Professor  Titular,,Departamento de Linguística ,São Paulo,2004,94p. ,,Módulo 1      Cx. N-01
MCN-08,"Nascimento, Milton Meira do",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na disciplina Ética e Filosofia Política ,Marilena de Souza Chauí- DF-FFLCH/ Olgária Chain Féres Matos - DF/ José Eduardo Campos de Oliveira Faria - FD-USP/ Renato de Andrade Lessa- IUPERJ/ Maria Victória de Mesquita Benevides Soares - FE-USP ,Departamento de Filosofia ,São Paulo,2006,33p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. N-01
MCN-09,"Navarro, Eduardo de  Almeida ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área: Línguas Indígenas do Brasil, disciplina de Tupi",Maria Aparecida Barbosa - DL-FFLCH/ Bruno Fregni Basseto - DLCV-FFLCH/ Joaquim Alfredo da Fonseca - PUC-SP/  Maria Tereza Camargo Biderman - UNESP- Araraquara/ Lídia Almeida Barros - UNESP - S.J.R.P.,Departamento de Letras Clássicas e Vernáculas,São Paulo,2006,40p. ,,Módulo 1      Cx. N-01
MCN-10,"Novaes, Sylvia Caiuby ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente,John Cowart Dawsey - DA-FFLCH/ Renate Brigitte Viertler - DA-FFLCH/ Etienne Ghislain Samain - UNICAMP /  Maria Dora Genis Mourão - ECA-USP/ Ana Maria de Moraes Belluzzo - FAU-USP  ,Departamento de Antropologia ,São Paulo,,41p. ,,Módulo 1      Cx. N-01
