Tombo,Autor,Título,Finalidade,Comissão Julgadora,Departamento ,Local,ano,nº páginas,Obs: ,Localização
MCA-32,"Albieri, Sara ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular na área de História ,Milton Meira do Nascimento- DF-FFLCH/ Elias Thomé Saliba -DH-FFLCH/ Luiz Carlos Soares - UFF/ Ricardo Augusto Benzaquen de Araújo - PUC -RJ/ Luis Alberto  Peluso -UFABC,Departamento de História ,São Paulo,2014,[228p.],Acompanha relatório final do concurso público,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
B,,,,,,,,,,
MCB-01,"Bandecchi, Pedro Brasil ",Currículo ,,,Departamento de História ,São Paulo,s.d.,05p. ,,Módulo 1      Cx. B-01
MCB-02,"Barbosa, Wilson do Nascimento ",Currículo ,,,Departamento de História ,São Paulo,s.d.,13p. ,,Módulo 1      Cx. B-01
MCB-03,"Barroso, Carmen ",Memorial ,,,Departamento de Ciências Sociais ,São Paulo,s.d.,05p. ,,Módulo 1      Cx. B-01
MCB-04,"Barroso, Carmen Lúcia  de Melo ",Memorial ,,,Departamento de Sociologia ,São Paulo,s.d. ,41p. ,,Módulo 1      Cx. B-01
MCB-05,"Bellotto, Heloisa Liberalli ",Curriculo ,,,Departamento de História ,São Paulo,s.d. [1962],105p. ,,Módulo 1      Cx. B-01
MCB-06,"Blaj, Ilana ",Currículo ,,,Departamento de História ,São Paulo,s.d.,14p. ,,Módulo 1      Cx. B-01
MCB-07,"Bandecchi, Pedro Brasil ",Currículo ,,,Departamento de História ,São Paulo,1972,07p. ,,Módulo 1      Cx. B-01
MCB-08,"Bandecchi, Pedro Brasil ",Currículo ,,,Departamento de História ,São Paulo,1977,13p. ,,Módulo 1      Cx. B-01
MCB-09,"Batista Neto, Jônatas ",Currículo,,,Departamento de História ,São Paulo,1982,05p. ,,Módulo 1      Cx. B-01
MCB-10,"Bassetto, Sylvia ",Memorial ,"Concurso para provimento efetivo de cargo de  Professor Assistente do conjunto de disciplinas: História da Cultura, História das Idéias e História das Instituições",,Departamento de História ,São Paulo,1987,27p. ,,Módulo 1      Cx. B-01
MCB-11,"Batista Neto, Jônatas ",Memorial ,,,Departamento de História ,São Paulo,1987,18p. ,,Módulo 1      Cx. B-01
MCB-12,"Bruni, José Carlos ",Memorial ,Concurso para provimento efetivo de cargo de  Professor Assistente do conjunto de disciplinas de Sociologia,,Departamento de Sociologia ,São Paulo,1988,32p. ,,Módulo 1      Cx. B-01
